"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2019/07/12","75.0","75.0","73.0","74.0","0.0","156,600","11,599","-","-","-","-","-","74.20","73.24","73.25","74.01","76.13","199,760","101,868","104,633"
"2024/02/14","78.0","79.0","77.0","79.0","+1.0","582,200","45,519","0","18,200","0.00","-","-","77.60","76.96","74.67","74.32","73.06","305,560","414,916","329,300"
"2024/02/09","78.0","78.0","77.0","77.0","0.0","205,400","15,988","0","27,900","0.00","-","-","77.00","76.60","74.49","74.26","72.98","232,140","407,672","322,546"
"2024/02/07","77.0","78.0","77.0","77.0","0.0","192,500","14,869","0","30,100","0.00","-","-","76.80","76.40","74.36","74.23","72.93","268,440","428,684","326,398"
"2024/02/06","78.0","78.0","77.0","77.0","0.0","241,800","18,843","0","28,200","0.00","-","-","76.60","76.28","74.29","74.22","72.91","367,700","431,440","327,782"
"2024/02/05","77.0","78.0","76.0","77.0","0.0","278,500","21,474","0","28,400","0.00","-","-","76.40","76.12","74.23","74.21","72.88","376,920","435,816","327,754"
"2024/01/31","77.0","77.0","76.0","76.0","0.0","688,800","52,654","0","27,300","0.00","-","-","76.40","75.68","74.04","74.15","72.80","419,880","440,032","323,638"
"2024/01/29","77.0","78.0","76.0","76.0","-1.0","547,800","42,164","0","25,400","0.00","-","-","76.80","75.44","73.95","74.12","72.76","344,080","430,112","316,177"
"2024/01/26","77.0","78.0","77.0","77.0","0.0","283,000","21,798","0","26,300","0.00","-","-","77.20","75.32","73.89","74.09","72.74","306,180","421,268","311,396"
"2024/01/25","77.0","78.0","77.0","77.0","0.0","291,900","22,498","0","23,300","0.00","-","-","77.40","75.16","73.83","74.05","72.71","354,200","422,780","312,200"
"2024/01/24","77.0","78.0","77.0","77.0","0.0","237,100","18,260","0","23,300","0.00","-","-","77.40","75.00","73.76","74.01","72.69","433,480","421,576","312,748"
"2023/12/29","73.0","74.0","73.0","74.0","0.0","276,200","20,201","0","19,800","0.00","-","-","73.40","73.80","73.49","73.41","72.53","310,540","307,244","261,356"
"2023/12/15","73.0","74.0","73.0","73.0","-1.0","261,800","19,129","0","12,500","0.00","-","-","73.60","73.92","73.68","73.23","72.60","303,540","280,488","267,350"
"2023/03/30","73.0","74.0","72.0","72.0","-5.0","565,700","41,332","0","137,900","0.00","-","-","75.00","74.36","72.53","71.60","69.95","357,420","265,696","270,405"
"2023/03/13","74.0","75.0","73.0","73.0","-2.0","590,100","43,629","0","17,700","0.00","-","-","74.60","74.16","71.75","70.88","69.38","299,460","296,864","265,416"
"2023/02/27","74.0","75.0","74.0","75.0","+1.0","237,500","17,699","0","3,700","0.00","-","-","74.20","73.80","70.91","70.31","68.88","211,960","351,040","251,660"
"2023/02/24","74.0","74.0","73.0","74.0","0.0","100,800","7,455","0","3,700","0.00","-","-","74.00","73.64","70.83","70.26","68.83","205,400","354,404","249,925"
"2023/02/22","74.0","74.0","73.0","74.0","0.0","235,900","17,450","0","3,600","0.00","-","-","74.00","73.52","70.76","70.24","68.78","217,800","358,252","250,646"
"2023/02/20","74.0","74.0","73.0","74.0","0.0","269,500","19,932","0","1,800","0.00","-","-","73.60","73.28","70.60","70.18","68.69","193,460","351,892","247,868"
"2023/02/17","74.0","74.0","73.0","74.0","0.0","204,700","15,078","0","300","0.00","-","-","73.60","73.12","70.53","70.16","68.64","189,200","348,400","246,234"
"2023/02/16","74.0","74.0","73.0","74.0","+1.0","162,800","12,047","0","300","0.00","-","-","73.60","72.96","70.45","70.13","68.59","290,000","346,916","245,889"
"2023/02/14","74.0","74.0","73.0","73.0","-1.0","182,800","13,477","0","6,500","0.00","-","-","73.80","72.72","70.32","70.07","68.50","406,200","353,936","244,294"
"2023/02/10","74.0","75.0","72.0","74.0","-1.0","708,700","52,019","0","20,300","0.00","-","-","74.00","72.52","70.17","70.01","68.40","441,280","351,496","241,514"
"2023/02/08","75.0","75.0","73.0","73.0","-1.0","579,300","42,946","0","7,800","0.00","-","-","74.20","72.20","70.00","69.94","68.30","442,080","325,196","231,314"
"2023/02/03","75.0","77.0","74.0","76.0","+2.0","791,700","59,522","0","5,300","0.00","-","-","74.40","71.76","69.79","69.84","68.16","370,080","294,584","220,056"
"2023/01/27","73.0","74.0","73.0","74.0","0.0","384,900","28,285","0","8,900","0.00","-","-","72.80","70.68","69.43","69.66","67.91","542,680","259,368","203,800"
"2023/01/25","72.0","75.0","71.0","72.0","0.0","1,435,700","104,183","0","5,300","0.00","-","-","71.60","70.28","69.29","69.60","67.82","492,220","241,432","197,961"
"2021/06/30","71.0","71.0","70.0","70.0","0.0","125,100","8,829","1,900","0","0.00","0.00","-","70.20","69.36","68.55","68.67","68.39","104,220","116,944","131,056"
"2021/06/24","70.0","70.0","69.0","70.0","0.0","102,100","7,124","1,500","0","0.00","0.00","-","69.80","68.88","68.55","68.56","68.42","106,580","117,008","134,290"
"2021/06/11","70.0","71.0","69.0","69.0","-1.0","273,700","19,094","0","5,600","0.00","-","-","69.80","67.64","68.48","68.23","68.43","208,020","124,616","136,425"
"2021/06/09","70.0","72.0","70.0","71.0","+1.0","366,100","25,903","3,900","0","0.00","0.00","-","69.00","67.44","68.45","68.18","68.42","166,580","118,584","132,908"
"2021/06/07","68.0","70.0","68.0","69.0","+1.0","186,000","12,730","0","3,000","0.00","-","-","68.00","67.16","68.39","68.08","68.40","100,500","112,260","130,746"
"2021/05/28","68.0","68.0","67.0","68.0","+1.0","93,800","6,344","0","0","0.00","-","-","67.40","66.96","68.41","67.92","68.43","98,220","120,576","136,294"
"2021/05/14","66.0","67.0","66.0","67.0","+1.0","117,900","7,800","0","15,600","0.00","-","-","66.60","67.28","68.43","67.72","68.50","133,660","139,744","140,796"
"2021/05/07","67.0","68.0","66.0","67.0","0.0","117,000","7,835","0","4,300","0.00","-","-","67.20","67.64","68.43","67.65","68.56","122,560","153,772","138,009"
"2021/04/15","68.0","68.0","67.0","68.0","+1.0","170,700","11,547","0","9,200","0.00","-","-","67.80","69.36","68.19","67.56","68.73","170,920","152,220","138,064"
"2021/04/13","68.0","69.0","68.0","68.0","0.0","108,200","7,386","0","5,200","0.00","-","-","68.20","69.60","68.15","67.57","68.76","123,740","151,420","134,862"
"2021/04/12","68.0","69.0","68.0","68.0","0.0","149,200","10,149","0","5,500","0.00","-","-","68.20","69.68","68.09","67.58","68.78","131,340","150,572","134,956"
"2021/04/09","69.0","69.0","68.0","68.0","0.0","125,300","8,596","0","4,300","0.00","-","-","68.20","69.76","68.05","67.60","68.79","134,140","149,512","135,996"
"2021/02/18","69.0","69.0","68.0","68.0","-1.0","61,300","4,224","2,200","0","0.00","0.00","-","68.20","67.40","66.91","67.67","68.95","177,000","129,568","137,036"
"2021/02/17","68.0","69.0","67.0","69.0","+2.0","128,000","8,709","2,300","0","0.00","0.00","-","68.20","67.36","66.92","67.72","68.94","179,240","134,344","136,934"
"2021/02/16","69.0","69.0","67.0","67.0","-2.0","199,700","13,639","2,000","0","0.00","0.00","-","67.80","67.24","66.92","67.76","68.93","198,220","134,644","135,597"
"2021/02/05","68.0","69.0","68.0","69.0","0.0","66,000","4,528","6,300","0","0.00","0.00","-","68.60","66.64","67.03","68.02","68.95","100,880","115,196","123,082"
"2021/02/04","68.0","69.0","67.0","69.0","+1.0","101,000","6,870","5,000","0","0.00","0.00","-","68.20","66.44","67.03","68.04","68.94","162,120","118,080","122,754"
"2021/02/03","68.0","69.0","68.0","68.0","-1.0","69,900","4,757","5,000","0","0.00","0.00","-","67.60","66.24","67.03","68.06","68.94","155,380","126,652","122,081"
"2021/02/02","67.0","69.0","67.0","69.0","+1.0","206,200","14,018","6,100","0","0.00","0.00","-","67.20","66.16","67.05","68.10","68.93","154,860","129,228","121,410"
