date,code
2014-07-23,1301
2014-12-30,1301
2015-12-24,1301
2017-08-04,1301
2017-09-15,1301
2018-03-27,1301
2019-06-21,1301
2021-01-12,1301
2020-10-29,1375
2014-06-20,1376
2014-07-22,1376
2014-09-08,1376
2015-02-04,1376
2015-10-05,1376
2015-10-06,1376
2016-05-24,1376
2016-06-28,1376
2017-09-07,1376
2019-10-30,1376
2020-06-23,1376
2022-03-07,1376
2015-05-27,1379
2018-09-03,1379
2021-01-08,1379
2018-01-16,1380
2018-11-26,1380
2018-12-06,1380
2019-02-06,1380
2019-07-08,1380
2019-09-17,1380
2020-04-23,1380
2020-07-01,1380
2020-09-17,1380
2020-09-25,1380
2022-03-28,1380
2014-07-23,1381
2014-08-19,1381
2014-10-27,1381
2015-01-05,1381
2015-04-02,1381
2015-04-23,1381
2015-05-28,1381
2015-10-26,1381
2016-04-19,1381
2016-10-21,1381
2017-01-20,1381
2017-03-22,1381
2017-04-21,1381
2017-08-31,1381
2021-10-11,1381
2014-05-02,1382
2014-08-04,1382
2014-10-01,1382
2017-05-11,1382
2018-01-29,1382
2019-08-13,1382
2019-10-17,1382
2019-10-18,1382
2019-12-16,1382
2019-12-17,1382
2019-12-18,1382
2020-11-24,1382
2020-11-25,1382
2022-03-16,1382
2022-04-15,1382
2022-04-28,1382
2015-04-28,1383
2015-06-04,1383
2015-06-25,1383
2017-01-11,1383
2017-01-12,1383
2017-12-28,1383
2017-12-29,1383
2019-02-20,1383
2019-04-16,1383
2019-08-28,1383
2019-10-10,1383
2021-02-24,1383
2022-02-28,1383
2015-04-07,1384
2015-05-19,1384
2015-06-15,1384
2015-07-02,1384
2015-07-09,1384
2017-09-20,1384
2017-12-26,1384
2019-09-11,1384
2019-10-16,1384
2020-08-24,1384
2021-05-31,1384
2021-07-05,1384
2015-10-27,1401
2016-04-06,1401
2016-12-19,1401
2017-03-01,1401
2017-03-30,1401
2017-06-12,1401
2017-10-18,1401
2017-12-08,1401
2018-01-26,1401
2018-06-06,1401
2018-06-07,1401
2019-04-05,1401
2019-06-28,1401
2019-10-07,1401
2019-12-03,1401
2019-12-06,1401
2020-08-18,1401
2020-08-20,1401
2021-02-17,1401
2014-04-15,1407
2014-05-29,1407
2014-11-25,1407
2015-06-11,1407
2015-07-15,1407
2016-01-27,1407
2018-04-20,1407
2018-07-17,1407
2018-11-20,1407
2019-04-04,1407
2020-05-29,1407
2014-06-17,1418
2014-06-18,1418
2014-07-28,1418
2014-08-19,1418
2014-09-24,1418
2015-04-20,1418
2016-01-28,1418
2016-03-29,1418
2016-07-21,1418
2016-07-22,1418
2016-09-30,1418
2016-11-24,1418
2016-11-28,1418
2017-02-16,1418
2017-02-23,1418
2017-06-21,1418
2017-06-23,1418
2017-10-12,1418
2017-11-13,1418
2018-03-13,1418
2018-06-11,1418
2018-11-07,1418
2019-01-16,1418
2019-05-20,1418
2019-06-28,1418
2019-07-16,1418
2019-07-18,1418
2019-09-17,1418
2019-11-20,1418
2019-12-09,1418
2020-12-28,1418
2021-05-28,1418
2015-06-01,1420
2017-09-15,1420
2017-09-26,1420
2017-09-27,1420
2017-09-29,1420
2019-10-16,1420
2020-03-27,1420
2020-12-23,1420
2021-01-12,1420
2014-05-22,1429
2014-10-07,1429
2015-09-14,1429
2016-04-01,1429
2016-04-04,1429
2017-03-08,1429
2017-10-04,1429
2018-08-29,1429
2018-12-27,1429
2018-12-28,1429
2019-02-12,1429
2019-10-01,1429
2020-07-10,1429
2020-09-09,1429
2021-06-04,1429
2021-08-25,1429
2016-05-26,1430
2016-10-07,1430
2017-05-26,1430
2018-04-10,1430
2018-09-21,1430
2022-01-28,1430
2019-08-01,1431
2019-10-23,1431
2020-06-10,1431
2020-08-24,1431
2020-10-05,1431
2020-10-21,1431
2021-02-03,1431
2021-12-28,1431
2015-12-03,1433
2016-02-19,1433
2016-10-24,1433
2016-12-02,1433
2017-01-18,1433
2017-02-23,1433
2017-02-24,1433
2017-06-01,1433
2017-08-17,1433
2017-08-25,1433
2018-07-09,1433
2018-10-31,1433
2018-12-05,1433
2020-10-14,1433
2021-05-31,1433
2016-03-11,1434
2016-04-07,1434
2017-03-13,1434
2017-04-24,1434
2017-08-28,1434
2017-12-07,1434
2017-12-14,1434
2017-12-19,1434
2017-12-20,1434
2018-06-11,1434
2018-06-19,1434
2018-08-28,1434
2018-12-14,1434
2019-03-05,1434
2019-06-20,1434
2019-06-26,1434
2019-12-13,1434
2019-12-16,1434
2019-12-24,1434
2020-06-23,1434
2020-06-25,1434
2020-08-25,1434
2021-01-07,1434
2021-06-04,1434
2021-09-13,1434
2016-06-30,1435
2018-05-31,1435
2018-11-02,1435
2019-03-15,1435
2019-09-11,1435
2019-11-25,1435
2020-04-20,1435
2021-06-03,1435
2016-09-07,1436
2016-10-21,1436
2017-01-16,1436
2017-01-17,1436
2017-05-02,1436
2017-06-05,1436
2017-07-06,1436
2017-08-24,1436
2017-08-25,1436
2017-11-01,1436
2018-03-12,1436
2018-08-06,1436
2019-07-19,1436
2019-07-22,1436
2019-07-26,1436
2019-09-19,1436
2019-11-08,1436
2020-04-16,1436
2020-04-17,1436
2020-06-12,1436
2020-07-21,1436
2020-11-09,1436
2020-11-18,1436
2020-12-01,1436
2021-01-04,1436
2021-04-19,1436
2021-07-16,1436
2021-09-06,1436
2021-11-22,1436
2021-11-25,1436
2022-03-31,1436
2017-04-20,1439
2018-01-16,1439
2018-01-18,1439
2018-04-20,1439
2018-04-26,1439
2018-09-18,1439
2019-09-27,1439
2019-11-27,1439
2021-04-12,1439
2021-06-09,1439
2022-01-04,1439
2018-05-09,1443
2018-05-10,1443
2018-06-14,1443
2018-07-26,1443
2019-01-21,1443
2019-02-06,1443
2019-03-06,1443
2019-03-11,1443
2019-06-25,1443
2019-09-09,1443
2019-09-12,1443
2019-10-15,1443
2020-01-09,1443
2020-07-06,1443
2020-09-23,1443
2020-10-02,1443
2020-12-09,1443
2021-04-19,1443
2022-03-04,1443
2022-04-05,1443
2018-09-04,1446
2019-02-13,1446
2019-03-05,1446
2019-12-09,1446
2020-04-23,1446
2020-05-25,1446
2020-06-18,1446
2019-01-21,1447
2019-02-25,1447
2019-06-21,1447
2019-07-08,1447
2019-09-04,1447
2019-09-05,1447
2019-11-07,1447
2019-12-26,1447
2020-02-18,1447
2020-06-18,1447
2021-09-29,1447
2019-12-12,1450
2020-01-08,1450
2020-07-06,1450
2020-08-11,1450
2019-07-05,1451
2019-08-02,1451
2019-12-30,1451
2020-01-14,1451
2020-04-30,1451
2021-09-28,1451
2015-02-20,1491
2015-06-15,1491
2016-03-07,1491
2016-08-04,1491
2016-08-10,1491
2016-12-14,1491
2017-02-02,1491
2017-07-10,1491
2018-04-20,1491
2019-03-01,1491
2019-06-06,1491
2019-06-20,1491
2019-08-16,1491
2020-01-07,1491
2020-05-19,1491
2020-06-09,1491
2020-07-09,1491
2020-07-29,1491
2020-10-05,1491
2021-01-27,1491
2021-05-07,1491
2021-06-28,1491
2022-02-24,1491
2022-06-03,1491
2014-04-16,1514
2014-09-01,1514
2014-09-18,1514
2014-11-27,1514
2015-03-16,1514
2016-11-21,1514
2017-01-23,1514
2017-07-31,1514
2017-10-02,1514
2018-01-22,1514
2019-03-04,1514
2019-03-29,1514
2019-06-24,1514
2019-09-17,1514
2019-11-18,1514
2021-02-22,1514
2021-04-21,1514
2021-07-13,1514
2021-09-13,1514
2022-02-28,1514
2022-03-03,1514
2018-04-20,1515
2019-12-13,1515
2022-03-04,1515
2015-02-09,1518
2015-08-10,1518
2015-11-09,1518
2016-09-12,1518
2016-11-21,1518
2017-01-18,1518
2019-09-02,1518
2020-09-01,1518
2021-12-17,1518
2022-03-03,1518
2022-05-17,1518
2014-07-08,1663
2017-02-10,1663
2017-07-28,1663
2017-11-30,1663
2020-08-04,1663
2021-10-06,1663
2022-01-25,1663
2022-03-03,1663
2014-05-09,1711
2014-06-09,1711
2014-06-11,1711
2014-11-06,1711
2015-02-02,1711
2015-02-23,1711
2015-04-07,1711
2015-12-01,1711
2016-01-05,1711
2016-03-07,1711
2016-10-07,1711
2016-10-11,1711
2016-10-12,1711
2017-01-19,1711
2017-01-20,1711
2017-03-31,1711
2017-07-12,1711
2017-10-24,1711
2017-12-25,1711
2018-01-24,1711
2018-03-22,1711
2018-06-12,1711
2018-07-18,1711
2019-03-18,1711
2019-08-01,1711
2019-09-12,1711
2019-12-13,1711
2020-01-16,1711
2020-04-21,1711
2020-05-22,1711
2020-06-24,1711
2020-07-09,1711
2020-08-25,1711
2020-10-13,1711
2021-01-04,1711
2021-01-05,1711
2021-04-19,1711
2021-06-04,1711
2021-12-06,1711
2022-01-17,1711
2022-02-25,1711
2022-03-02,1711
2014-07-02,1712
2014-09-25,1712
2015-07-03,1712
2015-12-03,1712
2017-07-03,1712
2019-11-25,1712
2019-12-30,1712
2021-06-18,1712
2021-09-21,1712
2014-05-12,1716
2014-06-09,1716
2014-07-04,1716
2014-11-11,1716
2015-11-13,1716
2016-03-17,1716
2016-09-30,1716
2016-12-06,1716
2017-05-31,1716
2017-08-21,1716
2017-10-06,1716
2017-11-13,1716
2018-01-29,1716
2018-05-31,1716
2019-10-30,1716
2020-06-05,1716
2020-12-29,1716
2021-09-10,1716
2014-07-14,1717
2015-10-19,1717
2016-08-02,1717
2016-08-30,1717
2016-09-30,1717
2016-12-13,1717
2017-01-27,1717
2018-05-01,1717
2018-08-22,1717
2018-10-01,1717
2019-07-31,1717
2019-11-20,1717
2020-09-02,1717
2021-05-28,1717
2014-05-28,1718
2014-06-23,1718
2014-07-15,1718
2014-10-31,1718
2015-01-05,1718
2015-06-23,1718
2015-07-31,1718
2015-09-03,1718
2015-10-08,1718
2016-07-29,1718
2016-08-31,1718
2016-09-16,1718
2016-10-27,1718
2017-07-27,1718
2017-10-27,1718
2017-11-24,1718
2018-05-01,1718
2019-02-27,1718
2021-02-18,1718
2014-04-24,1720
2014-06-19,1720
2014-07-17,1720
2014-09-25,1720
2014-10-27,1720
2015-02-10,1720
2015-12-02,1720
2016-08-08,1720
2017-04-26,1720
2017-11-08,1720
2021-03-03,1720
2014-08-22,1723
2016-11-04,1723
2017-01-04,1723
2018-06-18,1723
2018-07-20,1723
2018-07-25,1723
2019-06-18,1723
2019-12-10,1723
2021-06-18,1723
2021-07-12,1723
2021-10-22,1723
2021-12-22,1723
2014-10-30,1724
2014-12-30,1724
2015-01-28,1724
2015-10-14,1724
2016-01-28,1724
2016-02-17,1724
2016-06-13,1724
2016-10-14,1724
2016-12-16,1724
2016-12-19,1724
2016-12-26,1724
2017-01-23,1724
2017-03-24,1724
2017-04-19,1724
2017-07-12,1724
2017-11-01,1724
2017-11-07,1724
2017-11-29,1724
2017-12-21,1724
2018-04-12,1724
2018-07-26,1724
2018-08-02,1724
2019-02-04,1724
2019-05-20,1724
2019-05-21,1724
2020-01-21,1724
2020-09-18,1724
2020-09-23,1724
2021-02-02,1724
2021-05-07,1724
2021-07-19,1724
2021-09-21,1724
2021-12-14,1724
2022-04-06,1724
2014-04-28,1726
2014-08-25,1726
2014-12-01,1726
2015-02-06,1726
2015-08-19,1726
2015-10-21,1726
2015-12-22,1726
2016-03-23,1726
2016-03-24,1726
2016-04-18,1726
2016-10-11,1726
2016-10-14,1726
2016-12-30,1726
2017-02-21,1726
2017-11-01,1726
2018-06-19,1726
2018-09-25,1726
2021-09-03,1726
2014-09-02,1730
2014-11-12,1730
2014-12-12,1730
2015-02-27,1730
2015-04-27,1730
2016-04-15,1730
2017-11-08,1730
2017-11-09,1730
2017-11-16,1730
2018-04-26,1730
2018-07-09,1730
2018-07-27,1730
2018-09-06,1730
2018-11-07,1730
2019-01-28,1730
2019-01-29,1730
2019-07-02,1730
2019-08-28,1730
2019-10-15,1730
2019-11-20,1730
2020-05-07,1730
2020-06-12,1730
2020-07-06,1730
2020-08-20,1730
2020-10-23,1730
2021-03-16,1730
2021-09-03,1730
2022-04-20,1730
2022-04-22,1730
2014-07-15,1736
2014-08-25,1736
2014-11-11,1736
2015-02-10,1736
2015-05-20,1736
2016-03-29,1736
2016-05-20,1736
2016-11-30,1736
2018-02-02,1736
2018-06-15,1736
2019-04-25,1736
2021-07-15,1736
2014-07-08,1743
2014-09-01,1743
2015-02-09,1743
2015-02-26,1743
2015-03-16,1743
2016-04-15,1743
2016-04-19,1743
2017-01-11,1743
2017-02-14,1743
2017-03-02,1743
2017-03-10,1743
2017-05-11,1743
2018-07-09,1743
2019-08-13,1743
2019-09-19,1743
2020-07-06,1743
2020-12-25,1743
2021-03-02,1743
2014-09-09,1757
2014-12-01,1757
2015-06-09,1757
2015-10-07,1757
2015-10-08,1757
2015-12-10,1757
2016-02-04,1757
2016-04-27,1757
2017-05-09,1757
2017-10-17,1757
2018-02-20,1757
2018-03-30,1757
2018-04-18,1757
2018-05-18,1757
2019-02-13,1757
2019-06-18,1757
2019-08-20,1757
2019-09-25,1757
2019-12-20,1757
2020-06-04,1757
2020-06-05,1757
2020-10-23,1757
2020-12-22,1757
2021-04-13,1757
2021-04-21,1757
2021-12-14,1757
2015-09-14,1758
2016-04-18,1758
2016-05-30,1758
2017-12-13,1758
2020-01-21,1758
2020-05-13,1758
2021-04-09,1758
2014-09-01,1764
2014-09-24,1764
2014-12-04,1764
2015-02-19,1764
2015-04-20,1764
2015-04-28,1764
2015-08-26,1764
2016-08-24,1764
2016-10-26,1764
2016-12-02,1764
2017-01-11,1764
2017-02-23,1764
2017-04-17,1764
2017-09-14,1764
2017-12-11,1764
2020-05-27,1764
2020-10-22,1764
2022-03-23,1764
2014-04-22,1768
2015-02-12,1768
2015-04-22,1768
2015-04-23,1768
2015-09-09,1768
2015-10-23,1768
2016-03-04,1768
2016-03-17,1768
2016-09-09,1768
2016-10-28,1768
2017-03-22,1768
2017-04-27,1768
2017-05-23,1768
2017-06-27,1768
2017-09-15,1768
2018-04-26,1768
2018-06-25,1768
2018-06-27,1768
2018-09-25,1768
2020-06-10,1768
2020-09-07,1768
2020-09-28,1768
2020-12-11,1768
2014-07-16,1770
2014-12-15,1770
2015-12-11,1770
2016-05-02,1770
2016-07-15,1770
2017-08-17,1770
2017-10-10,1770
2017-10-12,1770
2017-11-13,1770
2018-08-13,1770
2019-05-07,1770
2019-05-09,1770
2019-07-11,1770
2019-11-06,1770
2020-01-21,1770
2021-04-14,1770
2021-06-18,1770
2021-07-12,1770
2022-03-15,1770
2022-05-06,1770
2014-06-11,1775
