year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2018,12,12,,False,16,,-177,-178,-81.0,0.0
2019,12,12,,False,18,,-275,-278,-126.5,0.0
2020,12,12,,False,13,,-297,-297,-135.4,0.0
2021,12,12,,False,59,-235,-240,-232,-51.9,0.0
2022,12,12,,False,178,-138,-138,-141,-25.7,0.0
2023,3,3,,False,64,-8,-8,-9,-1.7,
2023,6,3,,False,185,98,99,98,17.9,
2023,9,3,,False,30,-51,-54,-54,-10.0,
2023,12,3,24/02/13,False,81,-2,-2,-2,-0.4,
2023,12,12,24/02/08,True,359,35,34,31,,0.0
2023,12,12,24/02/13,False,360,37,35,33,6.0,0.0
2024,3,3,24/05/07,False,32,-65,-87,-87,-14.6,
2024,6,3,24/08/05,False,83,-1,-1,-3,-0.5,
2024,9,3,24/11/13,False,50,-55,-55,-55,-8.7,
2024,12,12,24/02/13,True,676,144,128,108,16.8,0.0
2024,12,12,24/12/13,True,189,-214,-235,-238,-37.4,0
