year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2000,2,12,99/04/12,False,52588,282,342,-231,-1.9,2.0
2001,2,12,00/04/13,False,58032,440,561,137,1.2,2.0
2002,2,12,01/04/20,False,67169,1243,1181,-913,-7.9,1.0
2003,2,12,02/04/12,False,69935,2126,2163,741,6.5,2.0
2004,2,12,03/04/10,False,65492,1305,1375,644,11.6,2.0
2005,2,12,04/04/09,False,69234,1345,1453,701,12.4,2.5
2006,2,12,05/04/06,False,73442,2027,2145,1049,9.1,4.0
2007,2,12,06/03/30,False,79178,2712,2860,1398,11.8,5.0
2008,2,12,07/03/29,False,82072,3239,3389,4301,37.9,6.0
2009,2,12,08/03/28,False,108902,4149,4350,1239,10.9,8.0
2010,2,12,09/03/30,False,87248,567,820,175,1.6,5.5
2011,2,12,10/03/29,False,80436,845,1282,407,3.6,4.0
2012,2,12,11/03/28,False,90105,1120,1288,403,3.6,4.0
2013,2,12,12/03/28,False,87464,1215,1325,604,5.4,4.0
2014,2,12,13/04/11,False,101316,2212,2383,1242,11.1,5.0
2015,2,12,14/04/08,False,98410,4313,4381,1845,16.6,8.0
2016,2,12,15/04/08,False,103129,5211,5434,3193,28.7,13.0
2017,2,12,16/04/07,False,108340,6033,6200,3841,34.5,15.0
2018,2,12,17/04/13,False,115561,7608,7809,5056,45.5,20.0
2019,2,3,19/04/11,False,44861,3316,3352,2285,20.5,
2019,2,12,18/04/12,False,115841,8171,8373,5638,50.7,22.5
2019,5,3,19/07/04,False,31489,2588,2657,1709,15.4,
2019,8,3,19/10/10,False,39235,4004,4036,2808,25.2,
2019,11,3,20/01/09,False,33164,1340,1363,1003,9.0,
2020,2,3,20/04/14,False,39801,3154,3186,2275,20.5,
2020,2,12,18/04/12,True,120000,8300,8500,5900,,23.5
2020,2,12,19/04/11,False,125859,9154,9341,6745,60.6,26.0
2020,2,12,20/04/14,False,143689,11086,11242,7795,70.1,32
2020,5,3,20/07/09,False,25997,1392,1439,766,6.9,
2020,8,3,20/10/08,False,27723,1022,1048,641,5.8,
2020,11,3,21/01/13,False,18443,-886,-849,-668,-6.0,
2021,2,3,21/04/08,False,35573,3354,3372,2332,21.0,
2021,2,12,19/04/11,True,130000,9300,9400,6300,,25.0
2021,2,12,19/11/08,True,145000,11000,11100,7500,,30.0
2021,2,12,20/04/14,False,143689,11086,11242,7795,70.1,32.0
2021,2,12,21/04/08,False,107736,4882,5010,3071,27.6,25
2021,5,3,21/07/08,False,20785,93,165,14,0.1,
2021,8,3,21/10/07,False,22944,827,865,709,6.4,
2021,11,3,22/01/13,False,31041,2227,2259,1680,15.1,
2022,2,3,22/04/07,False,36311,2284,2305,1581,14.2,
2022,2,12,20/04/14,True,,,,,,
2022,2,12,20/09/10,True,120000,5000,5100,3000,,25.0
2022,2,12,21/02/02,True,108000,4500,4600,2700,,25.0
2022,2,12,21/04/08,False,107736,4882,5010,3071,27.6,25.0
2022,2,12,22/04/07,False,111081,5431,5594,3984,35.8,28
2022,5,3,22/07/07,False,22287,64,143,137,1.2,
2022,8,3,22/10/06,False,25197,976,998,693,6.2,
2022,11,3,23/01/12,False,29362,781,791,536,4.8,
2023,2,3,23/04/06,False,34082,1292,1314,863,7.8,
2023,2,12,21/04/08,True,115000,5000,5100,3300,,25.0
2023,2,12,21/07/08,True,105000,2500,2550,1700,,25.0
2023,2,12,22/01/13,True,110000,4500,4650,3300,,25.0
2023,2,12,22/03/31,True,111000,5400,5550,3950,,28.0
2023,2,12,22/04/07,False,111081,5431,5594,3984,35.8,28.0
2023,2,12,23/04/06,False,110928,3113,3246,2229,20.0,25
2023,5,3,23/07/13,False,24909,191,263,4,0.0,
2023,8,3,23/10/12,False,34607,2029,2069,1678,15.1,
2023,11,3,24/01/12,False,35583,1292,1298,829,7.4,
2024,2,3,24/04/11,False,39039,1701,1743,1351,12.1,
2024,2,12,22/04/07,True,110000,4500,4550,2950,,25.0
2024,2,12,23/03/08,True,112000,3200,3320,2170,,25.0
2024,2,12,23/04/06,False,110928,3113,3246,2229,20.0,25.0
2024,2,12,24/01/12,True,131500,4600,4700,3300,29.6,27
2024,2,12,24/04/11,False,134138,5213,5373,3862,34.7,27
2024,5,3,24/07/11,False,29070,1025,1123,606,5.5,
2024,8,3,24/10/10,False,28875,417,404,245,2.2,
2024,11,3,25/01/10,False,36289,1643,1679,1384,12.4,
2025,2,12,23/04/06,True,120000,4100,4150,2740,,25.0
2025,2,12,23/09/27,True,124000,4300,4400,3100,,25.0
2025,2,12,24/01/12,True,131500,4600,4700,3300,29.6,27.0
2025,2,12,24/04/11,True,137000,5700,5750,4100,36.8,27
2025,2,12,25/01/10,True,149000,8000,8100,6000,53.8,32
