year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,8,12,,False,418,,161,101,32.8,6
2022,8,12,,False,515,146,147,98,29.6,8
2023,8,12,,False,703,233,234,163,47.8,10
2023,11,3,,False,225,73,72,50,,
2024,2,3,,False,282,130,130,90,26.4,
2024,5,3,,False,543,227,227,143,41.9,
2024,8,3,24/11/28,False,219,-10,-13,5,1.5,
2024,8,12,24/11/28,False,1269,420,416,288,84.3,17
2024,11,3,25/01/14,False,681,307,291,200,58.1,
2025,8,12,24/11/28,True,1792,515,500,340,83.7,
2025,8,12,25/01/14,True,2200,650,630,428,100.8,20
