year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,12,12,00/02/29,False,6927,638,647,296,38.8,9.09
2000,12,12,01/02/21,False,9137,1390,1412,821,106.5,12.73
2001,12,12,02/02/21,False,9485,1404,1455,859,102.5,14.0
2002,12,12,03/02/21,False,6979,695,761,411,49.0,14.0
2003,12,12,04/02/20,False,7457,719,776,444,52.1,14.0
2004,12,12,05/02/21,False,9632,1288,1320,725,82.7,20.0
2005,12,12,06/02/20,False,8759,768,861,507,55.0,20.0
2006,12,12,07/02/19,False,9589,846,923,559,62.2,20.0
2007,12,12,08/02/18,False,9612,511,609,408,45.4,20.0
2008,12,12,09/02/16,False,8940,395,480,257,28.6,20.0
2009,12,12,10/02/15,False,5426,-185,-129,-93,-10.4,5.0
2010,12,12,11/02/14,False,6579,37,67,28,3.2,7.0
2011,12,12,12/02/14,False,6839,107,178,48,5.4,8.0
2012,12,12,13/02/14,False,6769,189,275,173,19.3,10.0
2013,12,12,14/02/13,False,6891,45,155,107,11.9,10.0
2014,12,12,15/02/13,False,6998,82,202,138,15.3,10.0
2015,12,12,16/02/12,False,8084,378,514,303,33.6,13.0
2016,12,12,17/02/15,False,8858,396,514,331,36.9,15.0
2017,12,12,18/02/15,False,10166,612,747,517,58.1,20.0
2018,12,12,19/02/15,False,10190,427,586,410,46.0,20.0
2019,3,3,19/05/15,False,2710,101,105,71,8.0,
2019,6,3,19/08/14,False,2264,136,272,213,23.8,
2019,9,3,19/11/14,False,2922,133,135,82,9.2,
2019,12,3,20/02/14,False,2546,65,73,39,4.4,
2019,12,12,19/02/15,True,10300,450,600,416,,20.0
2019,12,12,19/11/14,True,10201,401,531,363,,20.0
2019,12,12,20/02/07,True,10201,401,531,363,,22.0
2019,12,12,20/02/14,False,10442,435,585,405,45.3,22.0
2020,3,3,20/05/15,False,2468,134,126,91,10.2,
2020,6,3,20/08/14,False,2533,211,364,273,28.5,
2020,9,3,20/11/13,False,3367,498,498,337,34.3,
2020,12,3,21/02/12,False,4119,571,574,435,43.8,
2020,12,12,20/02/14,True,10700,500,638,443,,22.0
2020,12,12,20/11/09,True,11250,1020,1170,830,,30.0
2020,12,12,21/02/09,True,12487,1414,1562,1136,,33.0
2020,12,12,21/02/12,False,12487,1414,1562,1136,114.3,33.0
2021,3,3,21/05/14,False,5319,1184,1205,837,81.1,
2021,6,3,21/08/13,False,3092,296,460,337,32.6,
2021,9,3,21/11/12,False,2955,329,338,254,24.6,
2021,12,3,22/02/14,False,2923,182,192,156,15.1,
2021,12,12,21/02/12,True,11500,800,970,689,,25.0
2021,12,12,21/05/11,True,12000,1500,1650,1144,,25.0
2021,12,12,21/08/10,True,12700,1580,1760,1220,,36.0
2021,12,12,21/11/10,True,14100,1930,2140,1480,,50.0
2021,12,12,22/02/14,False,14289,1991,2195,1584,153.0,50.0
2022,3,3,22/05/13,False,3430,421,427,294,28.8,
2022,6,3,22/08/12,False,2602,110,376,305,29.8,
2022,9,3,22/11/14,False,3621,309,343,245,23.9,
2022,12,3,23/02/14,False,3519,265,250,173,16.9,
2022,12,12,22/02/14,True,13000,1500,1650,1170,,50.0
2022,12,12,22/11/10,True,12500,1100,1410,1020,,60.0
2022,12,12,23/02/14,False,13172,1105,1396,1017,99.1,60.0
2023,3,3,23/05/15,False,4023,413,435,291,28.3,
2023,6,3,23/08/14,False,3187,93,366,281,27.3,
2023,9,3,23/11/14,False,3314,159,175,129,12.5,
2023,12,3,24/02/14,False,3122,42,34,30,2.9,
2023,12,12,23/02/14,True,13000,950,1100,800,,60.0
2023,12,12,24/02/14,False,13646,707,1010,731,70.9,60.0
2024,3,3,24/05/15,False,3475,359,386,270,26.1,
2024,6,3,24/08/14,False,3283,247,658,477,46.0,
2024,9,3,24/11/13,False,3096,243,212,153,14.7,
2024,12,12,24/02/14,True,13500,900,1100,800,77.2,50.0
2024,12,12,24/08/08,True,13500,930,1310,940,90.5,50
