year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,3,12,,False,738,,32,-54,-34.2,0
2021,3,12,,False,723,,12,15,9.8,0
2022,3,12,,False,1024,71,116,97,60.8,0
2023,3,12,,False,1148,95,111,83,52.4,0
2023,6,3,,False,289,48,57,40,25.6,
2023,9,3,,False,334,75,77,45,28.3,
2023,12,3,,False,261,6,-14,4,2.5,
2024,3,3,24/05/10,False,396,71,68,37,23.1,
2024,3,12,24/03/25,True,1278,168,165,126,68.5,0
2024,3,12,24/05/10,False,1280,200,188,126,78.6,0
2024,6,3,24/08/09,False,290,19,17,20,10.8,
2024,9,3,24/11/08,False,347,68,64,53,27.9,
2024,12,3,25/02/07,False,285,17,19,13,6.8,
2025,3,12,24/05/10,True,1354,206,184,142,74.2,0
