year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,2,12,,False,18,,11,7,0.7,0
2021,5,3,,False,205,,318,206,20.7,0
2021,5,12,,False,205,,318,206,20.7,0
2022,5,12,,False,644,368,419,200,20.1,0
2023,5,12,,False,787,247,260,186,18.6,0
2023,8,3,,False,247,124,135,88,8.9,
2023,11,3,,False,248,98,102,67,6.7,
2024,2,3,,False,239,94,101,66,6.6,
2024,5,3,24/07/12,False,211,35,45,42,4.2,
2024,5,12,24/06/20,True,936,343,366,240,23.8,0
2024,5,12,24/07/12,False,945,351,383,263,26.3,0
2024,8,3,24/10/15,False,211,69,55,36,3.6,
2024,11,3,25/01/14,False,238,78,90,50,5.0,
2025,5,12,24/07/12,True,1136,307,331,217,21.5,0
2025,5,12,25/01/14,True,1136,307,331,217,21.5,0
