year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2017,8,6,17/10/13,False,191,91,70,43,5441.0,5441.0
2018,2,12,,False,162,89,69,44,7942.0,2232.0
2018,8,6,18/10/15,False,2186,1053,1003,1002,4684.0,5292.0
2019,2,6,18/04/13,False,2042,1243,1074,1073,5389.0,5580.0
2019,8,6,19/10/17,False,2530,1253,1212,1211,4930.0,5524.0
2020,2,6,19/04/15,False,2493,1267,1171,1170,4798.0,5492.0
2020,8,6,20/10/15,False,3342,1729,1655,1654,5410.0,6003.0
2021,2,6,20/04/17,False,3200,1749,1633,1632,5563.0,5907.0
2021,8,6,21/10/15,False,4953,2555,2382,2381,6108.0,6764.0
2021,8,12,21/04/15,True,4941,2521,2336,2335,,6685.0
2022,2,6,21/04/15,False,4203,2204,2074,2073,5958.0,6619.0
2022,2,12,22/04/15,False,5028,2640,2541,2540,6495.0,7174
2022,8,6,22/04/15,True,6198,3332,2958,2957,,7307.0
2022,8,6,22/10/14,False,6276,3329,2980,2979,6627.0,7353.0
2022,8,12,22/10/14,False,6276,3329,2980,2979,6627.0,7353
2023,2,6,21/10/15,True,5028,2628,2509,2508,,7099.0
2023,2,6,22/04/15,False,5028,2640,2541,2540,6495.0,7174.0
2023,2,6,23/04/17,False,7149,3833,3433,3432,7046.0,7628
2023,2,12,23/04/17,False,7149,3833,3433,3432,7046.0,7628
2023,8,6,23/04/17,True,7547,3756,3485,3484,,7832.0
2023,8,6,23/10/18,False,7510,3800,3507,3506,6965.0,7832.0
2024,2,6,22/10/14,True,7099,3826,3399,3398,,7628.0
2024,2,6,23/04/17,False,7149,3833,3433,3432,7046.0,7628.0
2024,2,6,23/10/18,True,7783,3919,3600,3599,7148.2,7963
2024,2,6,24/04/15,False,7746,4034,3719,3718,7386.0,8083
2024,8,6,24/04/15,True,9125,5108,4725,4724,9382.6,9382
2024,8,6,24/10/17,False,9168,5165,4835,4834,9602.0,9602
2025,2,6,23/10/18,True,7783,3919,3600,3599,7148.2,7963.0
2025,2,6,24/10/17,True,9103,5105,4754,4753,9440.2,9441
