year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,9,12,,False,1665,,310,214,89.5,0
2021,9,12,,False,1648,,345,212,88.4,0
2022,9,12,,False,1996,310,311,208,86.7,0
2023,9,12,,False,2183,308,309,214,89.3,0
2023,12,3,,False,569,89,90,57,23.9,
2024,3,3,,False,585,103,99,64,26.9,
2024,6,3,24/08/14,False,564,83,81,63,26.3,
2024,9,3,24/11/13,False,599,59,40,35,14.3,
2024,9,12,24/07/31,True,2260,309,281,204,75.0,0
2024,9,12,24/11/13,False,2317,334,310,219,89.3,0
2025,9,12,24/11/13,True,2554,376,376,257,94.5,30
