year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2001,3,12,,False,13789,771,750,248,18.8,2.75
2002,3,12,,False,11115,79,-59,-67,-5.1,1.75
2003,3,12,,False,12363,198,249,69,4.8,2.25
2004,3,12,,False,19698,1172,987,604,44.8,2.75
2005,3,12,06/05/02,False,18980,1011,1022,663,49.2,3.25
2006,3,12,06/05/09,False,18199,872,1155,765,55.0,4.0
2007,3,12,07/05/08,False,20522,1444,1445,966,62.4,8.0
2008,3,12,08/05/08,False,20339,1364,1271,891,55.5,10.0
2009,3,12,09/05/08,False,18267,445,437,305,19.4,7.0
2010,3,12,10/05/07,False,12982,326,448,312,22.4,7.0
2011,3,12,11/05/06,False,14901,798,744,357,25.5,9.0
2012,3,12,12/05/07,False,18414,800,825,823,58.2,11.0
2013,3,12,13/05/07,False,19676,721,855,614,43.4,11.0
2014,3,12,14/05/07,False,23317,779,812,676,48.2,11.0
2015,3,12,15/05/07,False,24775,1199,1408,941,67.0,11.0
2016,3,12,16/05/09,False,27947,2367,2371,1542,109.8,14.5
2017,3,12,17/05/10,False,24461,2561,2643,2115,150.6,18.5
2018,3,12,18/05/08,False,25993,2172,2174,1802,128.3,18.5
2019,3,3,19/05/09,False,6217,502,545,473,33.7,
2019,3,12,18/05/08,True,27400,2600,2600,2000,,23.5
2019,3,12,19/05/09,False,26853,2601,2695,2003,142.6,23.5
2019,6,3,19/07/31,False,5897,456,400,306,21.8,
2019,9,3,19/11/01,False,6854,820,825,624,44.4,
2019,12,3,20/02/05,False,6393,627,677,512,36.5,
2020,3,3,20/05/08,False,5736,418,327,218,15.5,
2020,3,12,19/05/09,True,27500,2750,2800,2100,,25.0
2020,3,12,20/05/08,False,24880,2321,2229,1660,118.2,25.0
2020,6,3,20/07/31,False,4924,297,322,216,15.4,
2020,9,3,20/11/02,False,5676,444,415,336,23.9,
2020,12,3,21/02/05,False,6057,499,485,-73,-5.2,
2021,3,3,21/05/10,False,6297,455,676,603,42.9,
2021,3,12,20/05/08,True,,,,,,
2021,3,12,20/07/31,True,22000,1850,1850,950,,25.0
2021,3,12,21/05/10,False,22954,1695,1898,1082,77.0,25.0
2021,6,3,21/07/30,False,6791,536,490,335,23.9,
2021,9,3,21/11/02,False,7207,567,572,412,29.3,
2021,12,3,22/02/04,False,7426,623,651,479,34.1,
2022,3,3,22/05/10,False,6379,230,316,277,19.7,
2022,3,12,21/05/10,True,25000,2000,2000,1500,,27.0
2022,3,12,22/02/04,True,28000,2200,2200,1600,,27.0
2022,3,12,22/05/10,False,27803,1956,2029,1503,107.0,27.0
2022,6,3,22/08/01,False,7689,601,888,930,66.3,
2022,9,3,22/11/02,False,8317,672,822,506,36.0,
2022,12,3,23/02/03,False,8688,1108,935,765,54.5,
2023,3,3,23/05/10,False,7530,722,856,754,53.7,
2023,3,12,22/05/10,True,29500,2300,2300,2000,,28.0
2023,3,12,22/11/02,True,32000,2500,2900,2300,,28.0
2023,3,12,23/05/10,False,32224,3103,3501,2955,210.4,36.0
2023,6,3,23/08/01,False,7149,477,825,581,41.4,
2023,9,3,23/11/02,False,7111,295,281,96,6.8,
2023,12,3,24/02/02,False,8087,555,524,153,10.9,
2024,3,3,24/05/09,False,6979,340,451,614,43.7,
2024,3,12,23/05/10,True,32000,2750,2800,2100,,36.0
2024,3,12,24/02/02,True,29600,1850,2160,1350,96.1,36.0
2024,3,12,24/05/09,False,29326,1667,2081,1444,102.8,36
2024,6,3,24/08/01,False,8128,629,972,721,51.3,
2024,9,3,24/11/01,False,7892,622,335,284,20.2,
2024,12,3,25/02/04,False,7450,381,872,584,41.6,
2025,3,12,24/05/09,True,31300,1940,2210,1640,116.8,45
