year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/05/20,False,22163,3084,3049,1452,92.3,18.33
2000,3,12,00/05/18,False,23362,3844,3866,1964,124.9,20.83
2001,3,12,01/05/17,False,23915,4330,4489,2056,130.7,27.0
2002,3,12,02/05/14,False,23526,3978,4059,1919,122.0,27.0
2003,3,12,03/05/12,False,21527,2874,2966,1310,80.4,27.0
2004,3,12,04/05/10,False,21660,3124,3207,1696,105.0,30.0
2005,3,12,05/05/10,False,22121,3102,3222,1806,111.6,35.0
2006,3,12,06/05/10,False,21854,2593,2915,1427,88.2,33.0
2007,3,12,07/05/10,False,21637,1737,1923,1104,70.2,33.0
2008,3,12,08/05/13,False,20067,59,277,-485,-31.1,33.0
2009,3,12,09/05/13,False,22841,-313,-109,-484,-31.3,33.0
2010,3,12,10/05/13,False,20369,283,428,335,22.2,25.0
2011,3,12,11/04/28,False,20287,881,1012,297,19.6,25.0
2012,3,12,12/05/11,False,21040,1558,1787,972,64.2,25.0
2013,3,12,13/05/13,False,21226,1556,1803,1119,73.8,25.0
2014,3,12,14/05/13,False,23368,1612,2020,1140,75.2,27.5
2015,3,12,15/05/14,False,22346,1163,1454,925,61.1,27.5
2016,3,12,16/05/13,False,22310,1066,1287,648,42.8,30.0
2017,3,12,17/05/12,False,21963,904,1115,609,40.5,30.0
2018,3,12,18/05/14,False,21865,498,757,134,8.9,30.0
2019,3,3,19/05/13,False,5689,189,250,147,9.8,
2019,3,12,18/05/14,True,22600,630,810,480,,30.0
2019,3,12,19/05/13,False,22243,734,976,662,44.3,33.0
2019,6,3,19/07/31,False,5416,95,170,102,6.8,
2019,9,3,19/10/31,False,5850,362,397,253,17.0,
2019,12,3,20/01/31,False,5597,341,414,253,17.0,
2020,3,3,20/05/13,False,5433,131,187,71,4.8,
2020,3,12,19/05/13,True,23150,740,950,590,,30.0
2020,3,12,19/10/31,True,23150,870,1080,660,,30.0
2020,3,12,20/05/13,False,22296,929,1168,679,45.7,35.0
2020,6,3,20/07/31,False,4904,144,227,142,9.6,
2020,9,3,20/10/30,False,5116,229,286,166,11.2,
2020,12,3,21/01/29,False,5564,224,295,173,11.7,
2021,3,3,21/05/13,False,5401,332,424,274,18.5,
2021,3,12,20/05/13,True,,,,,,30.0
2021,3,12,20/07/31,True,21180,535,750,460,,30.0
2021,3,12,20/10/30,True,21055,845,1085,695,,30.0
2021,3,12,21/02/26,True,21055,845,1085,695,,35.0
2021,3,12,21/05/13,False,20985,929,1232,755,51.0,35.0
2021,6,3,21/07/30,False,5098,223,311,203,13.7,
2021,9,3,21/10/29,False,5439,333,410,266,18.0,
2021,12,3,22/01/31,False,5668,423,490,332,22.4,
2022,3,3,22/05/13,False,5674,363,417,-4,-0.3,
2022,3,12,21/05/13,True,21230,1080,1295,840,,50.0
2022,3,12,22/04/28,True,21879,1342,1628,797,,50.0
2022,3,12,22/05/13,False,21879,1342,1628,797,53.8,50.0
2022,6,3,22/07/29,False,5483,477,571,389,26.3,
2022,9,3,22/10/31,False,5887,464,518,311,21.0,
2022,12,3,23/01/31,False,6121,507,588,372,25.1,
2023,3,3,23/05/15,False,6004,498,549,390,26.3,
2023,3,12,22/05/13,True,22640,1140,1365,890,,50.0
2023,3,12,22/10/31,True,23150,1740,2010,1275,,50.0
2023,3,12,23/05/15,False,23495,1946,2226,1462,98.6,50.0
2023,6,3,23/07/31,False,5772,336,427,283,19.1,
2023,9,3,23/10/31,False,5953,483,540,355,24.0,
2023,12,3,24/01/31,False,6171,519,601,404,27.3,
2024,3,3,24/05/14,False,6029,435,504,320,21.6,
2024,3,12,23/05/15,True,23600,1580,1820,1200,80.9,50.0
2024,3,12,24/05/14,False,23925,1773,2072,1362,91.8,50
2024,6,3,24/08/09,False,5664,382,493,356,24.0,
2024,9,3,24/10/31,False,5956,629,685,476,32.1,
2025,3,12,24/05/14,True,24500,2000,2260,1450,97.7,60
