year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2014,3,12,,False,615,,55,-455,-68.3,0.0
2015,3,12,,False,712,,78,65,7.8,0.0
2016,3,12,,False,978,,84,66,7.3,0.0
2017,3,12,,False,1545,,-85,-1408,-153.1,0.0
2018,3,12,,False,1681,,71,-200,-18.2,0.0
2019,3,3,19/05/14,False,613,116,78,142,12.4,
2019,3,12,19/03/19,True,2000,200,150,140,,0.0
2019,3,12,19/04/16,True,2030,250,200,190,,0.0
2019,3,12,19/05/13,True,2032,256,208,253,,0.0
2019,3,12,19/05/14,False,2032,256,208,253,22.0,0.0
2019,6,3,19/07/30,False,503,32,30,19,1.5,
2019,9,3,19/10/29,False,600,106,103,68,5.3,
2019,12,3,20/02/06,False,620,79,79,53,4.1,
2020,3,3,20/05/12,False,1067,306,292,307,23.6,
2020,3,12,19/05/14,True,2500,400,370,370,,0.0
2020,3,12,20/02/05,True,2700,430,400,400,,0.0
2020,3,12,20/03/13,True,2700,430,400,400,,16.0
2020,3,12,20/04/27,True,2790,520,500,440,,16.0
2020,3,12,20/05/12,False,2790,523,504,447,34.4,16.0
2020,6,3,20/08/04,False,823,116,106,67,4.9,
2020,9,3,20/11/04,False,943,146,141,64,4.7,
2020,12,3,21/02/02,False,988,127,124,51,3.7,
2021,3,3,21/05/14,False,1404,370,363,382,27.8,
2021,3,12,20/05/12,True,4000,700,680,500,,16.0
2021,3,12,21/03/16,True,4000,700,680,500,,18.0
2021,3,12,21/05/11,True,4150,750,730,560,,18.0
2021,3,12,21/05/14,False,4158,759,734,564,41.0,18.0
2021,6,3,21/08/12,False,1127,111,82,41,2.9,
2021,9,3,21/11/11,False,1300,193,183,108,7.5,
2021,12,3,22/02/14,False,1187,105,102,54,3.7,
2022,3,3,22/05/12,False,1868,465,461,493,33.5,
2022,3,12,21/05/14,True,5300,1000,900,700,,18.0
2022,3,12,22/05/12,False,5482,874,828,696,47.3,24.0
2022,6,3,22/08/09,False,1380,98,25,1,0.1,
2022,9,3,22/11/11,False,1460,64,58,4,0.3,
2022,12,3,23/02/14,False,1445,5,-196,-239,-16.1,
2023,3,3,23/05/15,False,2551,-56,-94,960,64.3,
2023,3,12,22/05/12,True,7500,1250,1120,750,,24.0
2023,3,12,23/02/14,True,,,,,,24.0
2023,3,12,23/03/20,True,6900,150,-250,825,,26.0
2023,3,12,23/05/15,False,6836,111,-207,726,48.6,26.0
2023,6,3,23/08/14,False,2242,-157,-175,-164,-11.0,
2023,9,3,23/11/14,False,2257,-83,-100,-59,-4.0,
2023,12,3,24/02/13,False,2627,-79,-92,19,1.3,
2024,3,3,24/05/20,False,2794,-380,-423,-976,-65.2,
2024,3,12,23/05/15,True,11000,1000,940,900,,26.0
2024,3,12,24/02/13,True,10000,-600,-700,-800,-53.4,26.0
2024,3,12,24/05/14,True,9920,-699,-790,,,26
2024,3,12,24/05/20,False,9920,-699,-790,-1180,-78.8,26
2024,6,3,24/08/14,False,2154,-283,-300,-237,-15.8,
2024,9,3,24/11/14,False,2575,32,11,-55,-3.7,
2025,3,12,24/05/20,True,15000,1200,1100,700,46.7,26
