year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,6,12,,False,250,,-171,-187,-47.1,0
2021,6,12,,False,504,,-230,-231,-50.9,0
2022,6,12,,False,843,-547,-552,-555,-103.6,0
2023,6,12,,False,1607,-139,-147,-149,-24.7,0
2023,9,3,,False,421,-16,-20,-20,-3.3,
2023,12,3,,False,425,-52,-55,-56,-8.9,
2024,3,3,,False,574,21,17,16,2.6,
2024,6,3,24/08/14,False,469,-63,-86,-61,-9.5,
2024,6,12,24/06/21,True,1965,-127,-127,-127,-14.0,0
2024,6,12,24/08/14,False,1889,-110,-144,-121,-18.9,0
2024,9,3,24/11/14,False,533,39,38,28,3.2,
2025,6,12,24/08/14,True,2397,69,59,37,4.1,0
