year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/04/16,False,1914,399,391,183,0.0,0.0
2000,3,12,00/04/18,False,5695,2110,2031,1153,0.3,0.0
2001,3,12,01/04/20,False,13039,5308,5208,2972,0.8,0.0
2002,3,12,02/04/26,False,31497,10406,10318,5868,1.0,0.0
2003,3,12,03/04/25,False,59095,24072,23524,12096,2.0,0.0
2004,3,12,04/04/21,False,75776,41211,41308,24826,4.0,0.0
2005,3,12,05/04/20,False,117779,60187,60295,36521,6.0,0.61
2006,3,12,06/04/20,False,173695,82133,79867,47090,7.7,0.78
2007,3,12,07/04/24,False,212552,106232,102824,57963,9.6,0.96
2008,3,12,08/04/25,False,262027,124807,121511,62617,10.4,1.04
2009,3,12,09/04/28,False,265754,134618,132912,74715,12.6,1.3
2010,3,12,10/04/27,False,279856,143825,143360,83523,14.4,2.88
2011,3,12,11/04/22,False,292423,159604,160218,92174,15.9,3.18
2012,3,12,12/04/24,False,302088,165004,167300,100559,17.3,3.47
2013,3,12,13/04/25,False,342989,186351,188645,115035,19.8,4.01
2014,3,12,14/04/25,False,408514,196437,208224,128605,22.4,4.43
2015,3,12,15/05/01,False,428487,197212,208298,133051,23.4,8.86
2016,3,12,16/04/28,False,652327,224997,226585,171617,30.2,8.86
2017,3,12,17/04/26,False,853730,192049,193475,136589,24.0,8.86
2018,3,12,18/04/27,False,897185,185810,193177,131153,23.0,8.86
2019,3,3,19/04/25,False,247124,20849,13127,8505,1.6,
2019,3,12,18/04/27,True,,,,,,8.86
2019,3,12,19/04/25,False,954714,140528,123370,78677,14.7,8.86
2019,6,3,19/08/02,False,238634,36164,41360,27379,5.4,
2019,9,3,19/11/01,False,245511,39497,34226,23798,4.8,
2019,12,3,20/02/05,False,275469,47881,40425,23879,4.9,
2020,3,3,20/04/30,False,293329,28734,19665,6619,1.4,
2020,3,12,19/04/25,True,1010000,145300,,82000,,8.86
2020,3,12,20/02/05,True,1040000,150000,,78500,,8.86
2020,3,12,20/04/30,False,1052943,152276,135676,81675,16.9,8.86
2020,6,3,20/07/31,False,273879,50632,44928,22750,4.8,
2020,9,3,20/10/30,False,283344,47605,41820,23087,4.9,
2020,12,3,21/02/03,False,316592,43989,40814,21032,4.4,
2021,3,3,21/04/28,False,332031,19899,15053,3276,0.7,
2021,3,12,20/04/30,True,,,,,,
2021,3,12,20/10/30,True,1140000,160000,,,,
2021,3,12,21/01/20,True,1140000,160000,,,,5.56
2021,3,12,21/04/28,False,1205846,162125,142615,70145,14.0,5.56
2021,6,3,21/08/03,False,373352,51385,51783,26617,3.5,
2021,9,3,21/11/02,False,377610,64084,54277,27609,3.6,
2021,12,3,22/02/02,False,409174,61046,30152,12595,1.7,
2022,3,3,22/04/28,False,407285,12988,22330,10495,1.4,
2022,3,12,21/04/28,True,1545000,,,,,5.56
2022,3,12,22/02/02,True,1570000,,,,,5.56
2022,3,12,22/04/28,False,1567421,189503,158542,77316,10.2,5.81
2022,6,3,22/08/03,False,390565,49721,45221,25232,3.4,
2022,9,3,22/11/02,False,394344,49757,42462,15075,2.0,
2022,12,3,23/02/02,False,453687,190782,141606,139844,18.7,
2023,3,3,23/04/28,False,433781,24273,5930,-1283,-0.2,
2023,3,12,22/04/28,True,1724000,,,,,5.56
2023,3,12,23/04/28,False,1672377,314533,235219,178868,23.9,5.56
2023,6,3,23/08/03,False,430523,59397,73198,37316,5.0,
2023,9,3,23/11/07,False,441276,56731,50222,56420,7.5,
2023,12,3,24/02/06,False,475041,58152,46759,28712,3.8,
2024,3,3,24/05/08,False,467823,33911,11442,-9249,-1.2,
2024,3,12,23/04/28,True,1900000,,,,,5.56
2024,3,12,24/02/06,True,1820000,,,,,5.56
2024,3,12,24/05/08,False,1814663,208191,181621,113199,15.1,5.56
2024,6,3,24/08/02,False,463085,106802,87699,51527,6.9,
2024,9,3,24/11/05,False,462208,65857,57036,35727,4.8,
2025,3,12,24/05/08,True,1935000,,,,,5.56
