year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,9,12,,False,942,-138,-146,-150,-48.5,0.0
2000,3,6,00/12/08,False,1046,12,4,6,2.0,0.0
2001,3,12,01/05/21,False,4555,61,53,95,15.3,0.0
2002,3,12,02/05/24,False,3190,-866,-885,-1685,-191.7,0.0
2003,3,12,03/05/16,False,4700,148,118,108,12.3,0.0
2004,3,12,04/05/21,False,8457,233,184,162,18.5,0.0
2005,3,12,05/05/18,False,10680,508,386,846,95.2,0.0
2006,3,12,06/05/15,False,14618,2170,2096,1251,139.3,12.5
2007,3,12,07/05/17,False,12717,1001,948,415,45.2,12.5
2008,3,12,08/05/15,False,6336,-541,-584,-496,-53.3,12.5
2009,3,12,09/05/14,False,14276,817,695,573,61.9,12.5
2010,3,12,10/05/07,False,17826,2273,2192,1496,162.0,25.0
2011,3,12,11/05/09,False,18835,2404,2354,1580,169.1,28.75
2012,3,12,12/05/08,False,13682,533,597,328,35.1,18.75
2013,3,12,13/05/10,False,3662,-1142,-1105,-834,-89.1,12.5
2014,3,12,14/05/13,False,13075,407,435,223,25.3,12.5
2015,3,12,15/05/11,False,16456,862,1053,533,56.7,18.75
2016,3,12,16/05/10,False,39153,2578,2235,989,104.7,25.0
2017,3,12,17/05/15,False,45376,5414,5406,2813,288.7,57.5
2018,3,12,18/05/14,False,66067,12545,12370,7837,791.4,135.0
2019,3,3,19/05/13,False,16404,3094,3076,1733,176.3,
2019,3,12,18/05/14,True,82000,16500,16200,10000,,160.0
2019,3,12,18/11/13,True,77000,16500,16200,10000,,160.0
2019,3,12,19/05/13,False,72132,16628,16767,10901,1108.7,160.0
2019,6,3,19/08/09,False,18910,3721,3676,2283,236.2,
2019,9,3,19/11/11,False,16136,2534,2585,1599,165.4,
2019,12,3,20/02/10,False,15669,3161,3155,2043,211.3,
2020,3,3,20/05/12,False,3607,-3763,-3260,-2674,-276.6,
2020,3,12,19/05/13,True,73000,13000,12850,7800,,160.0
2020,3,12,19/11/11,True,69000,10500,10400,6300,,160.0
2020,3,12,20/02/10,True,54000,5700,5600,3100,,120.0
2020,3,12,20/05/12,False,54322,5653,6156,3251,336.3,120.0
2020,6,3,20/08/07,False,10297,1169,1119,633,65.5,
2020,9,3,20/11/10,False,17923,1772,1758,844,87.3,
2020,12,3,21/02/10,False,13278,2051,1955,1015,105.0,
2021,3,3,21/05/12,False,13688,1612,2004,1021,105.6,
2021,3,12,20/05/12,True,54000,6000,5800,3000,,120.0
2021,3,12,21/05/12,False,55186,6604,6836,3513,363.4,120.0
2021,6,3,21/08/10,False,13094,1312,1238,1145,118.5,
2021,9,3,21/11/08,False,14033,1230,1224,748,77.4,
2021,12,3,22/02/10,False,9690,772,951,1027,106.2,
2022,3,3,22/05/13,False,14601,2147,2455,1278,132.2,
2022,3,12,21/05/12,True,60000,7200,7050,4300,,120.0
2022,3,12,21/11/08,True,53000,5000,4900,3750,,120.0
2022,3,12,22/05/13,False,51418,5461,5868,4198,434.2,120.0
2022,6,3,22/08/10,False,7795,452,1098,719,74.4,
2022,9,3,22/11/10,False,11494,133,432,611,63.2,
2022,12,3,23/02/10,False,10603,-466,-787,-684,-70.8,
2023,3,3,23/05/12,False,13254,867,957,-386,-40.0,
2023,3,12,22/05/13,True,45000,4500,4400,2900,,120.0
2023,3,12,22/11/10,True,44000,700,1500,1200,,90.0
2023,3,12,23/05/12,False,43146,986,1700,260,26.9,90.0
2023,6,3,23/08/10,False,5749,-641,-410,-406,-42.0,
2023,9,3,23/11/10,False,6585,-239,-182,-241,-24.9,
2023,12,3,24/02/09,False,6769,-1197,-1308,-740,-76.6,
2024,3,3,24/05/13,False,18232,2923,3012,2165,224.4,
2024,3,12,23/05/12,True,40000,1000,850,550,57.2,60.0
2024,3,12,24/05/13,False,37335,846,1112,778,80.7,60
2024,6,3,24/08/09,False,9523,-948,-759,-656,-68.2,
2024,9,3,24/11/11,False,12822,812,484,438,45.8,
2025,3,12,24/05/13,True,47000,1600,1400,1000,103.9,80
