year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/05/24,False,83144,,6109,2512,175.6,50.0
2000,3,12,00/05/24,False,81551,,4376,2403,168.0,50.0
2001,3,12,01/05/21,False,81607,,9488,1428,99.8,50.0
2002,3,12,02/05/20,False,71755,,3305,1384,96.6,50.0
2003,3,12,03/05/19,False,64347,,-17181,-10893,-756.3,50.0
2004,3,12,04/05/17,False,61573,,9801,5155,354.6,50.0
2005,3,12,05/05/16,False,61629,,13246,10417,720.5,55.0
2006,3,12,06/05/15,False,63307,,13428,8009,553.4,60.0
2007,3,12,07/05/14,False,65237,,14423,7417,516.6,60.0
2008,3,12,08/05/12,False,68753,,9588,5653,396.0,60.0
2009,3,12,09/05/13,False,64663,,-23175,-22920,-1606.1,60.0
2010,3,12,10/05/12,False,61649,,10631,5179,325.6,60.0
2011,3,12,11/05/11,False,58769,,12016,6013,352.7,60.0
2012,3,12,12/05/11,False,59986,,13098,6199,366.1,60.0
2013,3,12,13/05/13,False,56839,,10213,7206,434.8,70.0
2014,3,12,14/05/12,False,59045,,14842,8271,503.2,60.0
2015,3,12,15/05/11,False,61826,,16446,9664,608.8,70.0
2016,3,12,16/05/09,False,60092,,14573,9736,628.4,70.0
2017,3,12,17/05/12,False,58980,,10159,7540,479.5,70.0
2018,3,12,18/05/14,False,60966,,9304,5976,379.9,80.0
2019,3,3,19/05/13,False,13588,,-1317,-1130,-71.8,
2019,3,12,18/05/14,True,57000,,9200,6300,,80.0
2019,3,12,18/11/12,True,62000,,9600,7100,,80.0
2019,3,12,19/05/13,False,61696,,7782,5759,366.1,80.0
2019,6,3,19/08/13,False,14101,,3190,2295,145.9,
2019,9,3,19/11/11,False,12810,,289,101,6.4,
2019,12,3,20/02/10,False,14296,,2383,1508,95.8,
2020,3,3,20/05/11,False,19598,,3468,1177,74.8,
2020,3,12,19/05/13,True,55800,,6900,4600,,80.0
2020,3,12,19/11/11,True,54500,,7100,4700,,80.0
2020,3,12,20/04/27,True,60800,,9300,5100,,80.0
2020,3,12,20/05/11,False,60805,,9330,5081,322.9,80.0
2020,6,3,20/08/07,False,15615,,2876,1815,115.4,
2020,9,3,20/11/09,False,13248,,-374,-410,-26.1,
2020,12,3,21/02/08,False,14928,,3553,2493,158.4,
2021,3,3,21/05/10,False,13918,,712,-283,-18.0,
2021,3,12,20/05/11,True,53700,,6800,4400,,80.0
2021,3,12,20/11/09,True,55900,,6400,4000,,80.0
2021,3,12,21/05/10,False,57709,,6767,3615,229.6,80.0
2021,6,3,21/08/06,False,15166,,3760,2828,179.7,
2021,9,3,21/11/08,False,12853,,963,778,49.4,
2021,12,3,22/02/14,False,12550,,2486,1630,103.4,
2022,3,3,22/05/13,False,14951,,37,140,8.9,
2022,3,12,21/05/10,True,51200,,6700,4500,,80.0
2022,3,12,21/11/08,True,52600,,7100,4800,,80.0
2022,3,12,22/05/13,False,55520,,7246,5376,341.0,80.0
2022,6,3,22/08/08,False,17718,,3339,2416,153.2,
2022,9,3,22/11/14,False,20299,,1125,429,27.2,
2022,12,3,23/02/13,False,19240,,2730,2272,144.0,
2023,3,3,23/05/12,False,15648,,602,292,18.5,
2023,3,12,22/05/13,True,52900,,6900,4500,,80.0
2023,3,12,22/07/25,True,66200,,7000,4500,,80.0
2023,3,12,22/11/14,True,69500,,7100,4600,,80.0
2023,3,12,23/05/12,False,72905,,7796,5409,342.8,90.0
2023,6,3,23/08/14,False,19287,,3031,2285,144.8,
2023,9,3,23/11/13,False,18044,,1380,925,58.6,
2023,12,3,24/02/13,False,16000,,2398,1766,111.8,
2024,3,3,24/05/13,False,19909,,2274,1560,98.8,
2024,3,12,23/05/12,True,63200,,7800,5200,,90.0
2024,3,12,23/11/13,True,68100,,8100,5400,341.8,90.0
2024,3,12,24/05/13,False,73240,,9083,6536,413.8,95
2024,6,3,24/08/09,False,19563,,4909,3443,219.2,
2024,9,3,24/11/11,False,19287,,436,270,17.2,
2025,3,12,24/05/13,True,68100,,9400,6600,417.7,100
2025,3,12,24/11/11,True,74500,,9800,6800,438.7,100
