year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/05/19,False,22374,2010,2244,812,33.9,8.0
2000,3,12,00/05/25,False,23322,1839,1875,1342,56.1,10.0
2001,3,12,01/05/25,False,23537,2659,2683,959,40.0,8.0
2002,3,12,02/05/24,False,22448,2178,2236,712,29.8,8.0
2003,3,12,03/05/23,False,21157,1152,1289,121,5.1,8.0
2004,3,12,04/05/21,False,20188,417,530,271,11.6,12.0
2005,3,12,05/05/17,False,20635,901,896,380,16.2,22.0
2006,3,12,06/05/16,False,23927,584,799,471,18.7,12.0
2007,3,12,07/05/15,False,30301,2019,2075,969,34.3,14.0
2008,3,12,08/05/15,False,30170,1758,2042,3513,124.7,14.0
2009,3,12,09/05/15,False,30422,1064,1377,600,21.3,14.0
2010,3,12,10/05/14,False,35784,419,654,93,3.3,14.0
2011,3,12,11/05/13,False,45849,3496,3661,-790,-28.1,14.0
2012,3,12,12/05/14,False,40637,935,1224,7,0.3,14.0
2013,3,12,13/05/14,False,40963,1061,1336,1114,40.3,14.0
2014,3,12,14/05/13,False,39501,716,1031,495,17.9,14.0
2015,3,12,15/05/12,False,42907,1425,1722,1193,42.9,14.0
2016,3,12,16/05/12,False,43215,1283,1522,701,25.2,14.0
2017,3,12,17/05/12,False,48527,1793,2002,2944,105.4,14.0
2018,3,12,18/05/11,False,48944,2824,3073,2388,84.8,14.0
2019,3,3,19/05/10,False,9690,-796,-819,-472,-16.7,
2019,3,12,18/05/11,True,49000,1000,1200,1000,,14.0
2019,3,12,19/02/04,True,48000,2000,2100,1600,,14.0
2019,3,12,19/05/10,False,46706,1782,1980,1744,61.8,14.0
2019,6,3,19/08/05,False,13991,837,969,563,20.0,
2019,9,3,19/11/05,False,12591,-91,-100,14,0.5,
2019,12,3,20/02/03,False,14625,774,862,487,17.2,
2020,3,3,20/05/12,False,11335,-13,-16,-415,-14.7,
2020,3,12,19/05/10,True,53000,2000,2100,1000,,14.0
2020,3,12,20/03/02,True,53000,2000,2100,1000,,17.0
2020,3,12,20/04/24,True,52500,1500,1700,600,,17.0
2020,3,12,20/05/12,False,52542,1507,1715,649,23.0,17.0
2020,6,3,20/08/03,False,13714,898,987,739,26.1,
2020,9,3,20/11/04,False,13689,1048,965,813,28.7,
2020,12,3,21/02/01,False,15947,1830,1275,899,31.7,
2021,3,3,21/05/11,False,11831,-167,-135,262,9.2,
2021,3,12,20/05/12,True,53000,2000,1900,1500,,14.0
2021,3,12,21/02/01,True,54000,2800,2100,1900,,14.0
2021,3,12,21/04/23,True,55100,3600,3000,2700,,14.0
2021,3,12,21/05/11,False,55181,3609,3092,2713,95.7,14.0
2021,6,3,21/08/02,False,14221,1188,1329,1098,38.7,
2021,9,3,21/11/01,False,14256,1469,1414,-3894,-137.2,
2021,12,3,22/02/07,False,15702,2020,2047,6878,242.2,
2022,3,3,22/05/12,False,12428,118,90,208,7.3,
2022,3,12,21/05/11,True,52000,1500,1500,800,,14.0
2022,3,12,21/09/27,True,54500,3500,3600,-2600,,14.0
2022,3,12,21/12/20,True,55000,3500,3600,3000,,14.0
2022,3,12,22/03/28,True,57000,4500,4600,4000,,14.0
2022,3,12,22/05/12,False,56607,4795,4880,4290,151.2,15.0
2022,6,3,22/08/08,False,15269,1664,1805,1323,46.9,
2022,9,3,22/11/07,False,14903,1215,1182,1023,36.3,
2022,12,3,23/02/06,False,17087,2162,2259,1837,65.1,
2023,3,3,23/05/11,False,13202,67,-14,55,2.0,
2023,3,12,22/05/12,True,57500,4200,4300,3300,,16.0
2023,3,12,22/11/07,True,60000,5200,5300,4200,,16.0
2023,3,12,23/05/11,False,60461,5108,5232,4238,150.1,16.0
2023,6,3,23/08/07,False,16023,1704,1809,1428,50.5,
2023,9,3,23/11/06,False,15625,1351,1287,2701,95.5,
2023,12,3,24/02/05,False,17176,2471,2535,2329,82.3,
2024,3,3,24/05/10,False,14019,974,891,1087,38.4,
2024,3,12,23/05/11,True,62000,5400,5500,4400,,20.0
2024,3,12,23/09/25,True,62000,5400,5500,6200,,20.0
2024,3,12,23/11/06,True,62000,5400,5500,6200,218.9,40.0
2024,3,12,24/05/10,False,62843,6500,6522,7545,266.5,40
2024,6,3,24/08/05,False,16352,1758,1813,1273,45.0,
2024,9,3,24/11/05,False,16019,1587,1499,1287,45.4,
2025,3,12,24/05/10,True,63000,6700,6700,5000,176.5,50
