year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2000,3,12,00/05/12,False,157849,2592,2616,1423,29.9,16.0
2000,12,9,01/02/16,False,112685,530,932,-2291,-48.1,12.0
2001,12,12,02/02/15,False,152075,-3048,-1307,-5228,-109.8,8.0
2002,12,12,03/02/14,False,147100,3325,2039,1366,29.9,8.0
2003,12,12,04/02/12,False,147607,5057,4041,1819,40.8,16.0
2004,12,12,05/01/27,False,147159,2921,3033,1231,28.8,16.0
2005,12,12,06/01/26,False,145453,3432,3962,1267,27.4,18.0
2006,12,12,07/01/25,False,148150,4602,5240,3627,78.8,20.0
2007,12,12,08/01/31,False,156792,5291,4683,1932,41.5,27.0
2008,12,12,09/01/29,False,158285,2413,-4553,-6271,-134.3,17.0
2009,12,12,10/01/28,False,147292,-2405,-1410,-3811,-84.2,6.0
2010,12,12,11/02/03,False,136859,3422,3167,2037,47.0,14.0
2011,12,12,12/02/09,False,137261,3107,3233,1583,36.6,14.0
2012,12,12,13/02/07,False,145750,2109,2765,2029,46.9,20.0
2013,12,12,14/02/06,False,141552,4019,4631,4046,93.4,24.0
2014,12,12,15/02/05,False,142526,3088,3549,1798,41.5,24.0
2015,12,12,16/02/04,False,134321,-3437,-2540,-5307,-108.0,8.0
2016,12,12,17/02/02,False,129074,1194,1673,1420,27.3,8.0
2017,12,12,18/02/08,False,125999,-4287,-4206,-11090,-213.2,0.0
2018,12,12,19/02/08,False,113344,-4063,-4277,-6027,-136.8,0.0
2019,3,3,19/04/25,False,20952,-395,141,6974,173.6,
2019,6,3,19/07/25,False,22936,954,979,926,23.0,
2019,9,3,19/10/31,False,21092,698,546,472,11.7,
2019,12,3,20/02/13,False,24170,-485,-248,-190,-4.7,
2019,12,12,19/02/08,True,94000,-700,-1100,4300,,
2019,12,12,19/04/25,True,94000,-700,-1100,5400,,
2019,12,12,19/07/25,True,89000,-700,-200,6300,,
2019,12,12,19/12/20,True,89000,500,1100,7900,,2.0
2019,12,12,20/02/06,True,89150,772,1418,8182,,2.0
2019,12,12,20/02/13,False,89150,772,1418,8182,201.1,2.0
2020,3,3,20/05/01,False,19850,-1001,-1782,-1722,-44.1,
2020,6,3,20/07/30,False,22376,438,-1116,-1278,-31.8,
2020,9,3,20/10/30,False,17276,-512,-1679,-2070,-51.5,
2020,12,3,21/02/12,False,23784,686,777,1124,27.1,
2020,12,12,20/02/13,True,92000,1800,2000,2200,,4.0
2020,12,12,20/04/27,True,,,,,,
2020,12,12,20/10/30,True,82000,-1300,-4800,-5300,,0.0
2020,12,12,21/01/22,True,83286,-400,-3900,-4000,,0.0
2020,12,12,21/02/12,False,83286,-389,-3800,-3946,-95.2,0.0
2021,3,3,21/04/30,False,18655,-388,-373,-290,-6.3,
2021,6,3,21/07/29,False,19250,861,872,768,16.7,
2021,9,3,21/10/29,False,15635,-11,4,1,0.0,
2021,12,3,22/02/10,False,19609,-113,17,-171,-3.7,
2021,12,12,21/02/12,True,91000,2000,2000,2000,,7.0
2021,12,12,21/03/23,True,76000,1000,1100,1150,,7.0
2021,12,12,22/02/04,True,73149,349,520,308,,7.0
2021,12,12,22/02/10,False,73149,349,520,308,6.6,7.0
2022,3,3,22/05/13,False,12009,-2794,-2727,-2728,-58.2,
2022,6,3,22/08/10,False,16380,-1114,-1022,-928,-19.8,
2022,9,3,22/11/11,False,13451,-2408,-2381,-5014,-107.0,
2022,12,3,23/02/13,False,17075,-1823,-1759,-2306,-49.2,
2022,12,12,22/02/10,True,76000,200,300,350,,7.0
2022,12,12,22/03/11,True,,,,,,7.0
2022,12,12,22/05/13,True,68000,-4200,-4100,-4000,,0.0
2022,12,12,22/11/11,True,61000,-6900,-6700,-9700,,0.0
2022,12,12,23/02/13,False,58915,-8139,-7889,-10976,-234.2,0.0
2023,3,3,23/05/11,False,12505,-2200,-2219,-2286,-48.8,
2023,6,3,23/08/10,False,14130,-957,-1049,-978,-20.9,
2023,9,3,23/11/14,False,9210,-1801,-1734,-1400,-29.9,
2023,12,3,24/02/13,False,13381,-599,-677,-118,-2.5,
2023,12,12,23/02/13,True,66200,500,400,150,,
2023,12,12,23/06/23,True,55000,-3800,-3700,-4200,,0.0
2023,12,12,23/11/14,True,48000,-6200,-6200,-5600,,0.0
2023,12,12,24/02/13,False,49226,-5557,-5679,-4782,-102.2,0.0
2024,3,3,24/05/10,False,10340,-1299,-1333,-950,-20.3,
2024,6,3,24/08/09,False,12206,-701,-673,-461,-9.9,
2024,9,3,24/11/11,False,9505,-1278,-1222,-1403,-30.0,
2024,12,12,24/02/13,True,51000,-1900,-1900,-1800,-38.5,0.0
2024,12,12,24/11/11,True,43700,-4800,-4800,-4500,-96.2,0
