year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2001,9,12,,False,188,-32,-34,-21,-75.5,0.0
2002,9,12,,False,1540,214,195,110,239.8,50.0
2003,9,12,,False,1054,155,138,76,147.2,50.0
2004,9,12,,False,1404,265,251,120,232.5,50.0
2005,9,12,06/04/27,False,1513,301,288,170,32.1,5.0
2006,9,12,06/11/07,False,1845,358,343,198,34.2,5.0
2007,9,12,07/11/12,False,2007,310,301,179,27.6,5.0
2008,9,12,08/11/10,False,1657,143,219,34,5.4,5.0
2009,9,12,09/11/13,False,1437,52,39,-654,-104.9,1.5
2010,10,13,10/12/13,False,1808,164,153,169,27.4,1.5
2011,10,12,11/12/12,False,1996,152,140,23,3.8,1.5
2012,10,12,12/12/17,False,1948,27,17,-185,-29.1,1.5
2013,10,12,13/12/16,False,2171,141,132,132,20.4,1.5
2014,10,12,14/12/15,False,2423,188,179,185,28.5,1.5
2015,10,12,15/12/15,False,2676,157,150,145,22.4,1.5
2016,10,12,16/12/15,False,3108,193,186,134,20.7,2.5
2017,10,12,17/12/14,False,3807,350,346,238,36.7,5.0
2018,10,12,18/12/17,False,3399,391,389,258,39.8,7.0
2019,1,3,19/03/15,False,488,-150,-150,-108,-16.7,
2019,4,3,19/06/12,False,1273,504,503,348,53.6,
2019,7,3,19/09/17,False,612,-86,-85,-62,-9.6,
2019,10,3,19/12/16,False,1193,267,270,204,31.5,
2019,10,12,18/12/17,True,3484,442,440,297,,7.0
2019,10,12,19/12/09,True,3566,535,538,382,,10.0
2019,10,12,19/12/16,False,3566,535,538,382,59.0,10.0
2020,1,3,20/03/16,False,637,1,2,0,0.0,
2020,4,3,20/06/15,False,1497,568,567,394,60.7,
2020,7,3,20/09/14,False,698,-50,-47,-34,-5.2,
2020,10,3,20/12/14,False,1022,208,207,150,23.1,
2020,10,12,19/12/16,True,3722,607,606,418,,10.0
2020,10,12,20/12/14,False,3854,727,729,510,78.7,14.0
2021,1,3,21/03/15,False,734,107,107,70,11.0,
2021,4,3,21/06/14,False,1245,380,380,264,41.1,
2021,7,3,21/09/13,False,823,52,52,43,6.7,
2021,10,3,21/12/13,False,1040,269,270,196,30.6,
2021,10,12,20/12/14,True,4085,773,773,532,,15.0
2021,10,12,21/12/13,False,3842,808,809,573,89.3,18.0
2022,1,3,22/03/14,False,796,130,131,56,8.8,
2022,4,3,22/06/13,False,1499,545,544,381,59.6,
2022,7,3,22/09/12,False,809,-1,1,0,0.0,
2022,10,3,22/12/12,False,1128,223,223,154,24.1,
2022,10,12,21/12/13,True,4332,892,892,584,,19.0
2022,10,12,22/12/12,False,4232,897,899,591,92.4,20.0
2023,1,3,23/03/13,False,975,166,167,111,17.5,
2023,4,3,23/06/12,False,1453,385,384,265,41.5,
2023,7,3,23/09/11,False,887,29,30,13,2.0,
2023,10,3,23/12/11,False,1421,333,334,243,38.0,
2023,10,12,22/12/12,True,4621,909,907,621,,22.0
2023,10,12,23/12/11,False,4736,913,915,632,98.8,23.0
2024,1,3,24/03/18,False,921,114,115,68,10.8,
2024,4,3,24/06/10,False,1465,398,398,274,42.9,
2024,7,3,24/09/17,False,892,7,6,2,0.3,
2024,10,3,24/12/16,False,1353,309,311,211,33.0,
2024,10,12,23/12/11,True,4886,940,938,633,98.8,24.0
2024,10,12,24/12/16,False,4631,828,830,555,86.8,24
2025,10,12,24/12/16,True,5024,932,931,627,97.8,27
