year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,3,12,99/05/21,False,61171,,-15641,-11789,-225.6,10.81
2000,3,12,00/05/19,False,55835,,1165,1033,16.0,10.81
2001,3,12,01/05/25,False,55855,,772,3728,57.5,10.81
2002,3,12,02/05/24,False,51874,,-34308,-23545,-322.8,0.0
2003,3,12,03/05/23,False,55702,,1665,2734,37.4,4.05
2004,3,12,04/05/21,False,69943,,7842,4368,58.8,10.81
2005,3,12,05/05/20,False,72549,,6485,4577,60.4,13.51
2006,3,12,06/05/19,False,92661,,8824,4696,60.3,13.51
2007,3,12,07/05/14,False,83616,,10109,5685,60.7,17.57
2008,3,12,08/05/16,False,88452,,-64118,-54968,-573.7,0.0
2009,3,12,09/05/15,False,83201,,-34736,-37453,-391.0,0.0
2010,3,12,10/05/14,False,118332,,6057,-2845,-27.4,13.5
2011,3,12,11/05/13,False,117255,,7532,7690,22.0,15.0
2012,3,12,12/05/14,False,115952,,10905,3810,7.4,15.0
2013,3,12,13/05/13,False,111558,,12806,10102,35.8,15.0
2014,3,12,14/05/12,False,104855,,17551,16604,64.8,15.0
2015,3,12,15/05/13,False,114324,,21342,17584,66.4,15.0
2016,3,12,16/05/11,False,110347,,22335,16472,55.1,15.0
2017,3,12,17/05/12,False,103065,,20668,12210,39.6,15.0
2018,3,12,18/05/14,False,111612,,14206,8395,25.7,15.0
2019,3,3,19/05/14,False,29841,,4248,2364,7.1,
2019,3,12,18/05/14,True,85000,,7500,6000,,15.0
2019,3,12,18/11/13,True,90000,,7500,6000,,15.0
2019,3,12,19/05/14,False,97303,,9698,6139,18.4,15.0
2019,6,3,19/07/30,False,23486,,2116,1688,6.0,
2019,9,3,19/11/14,False,21650,,-359,134,0.4,
2019,12,3,20/01/31,False,20412,,2374,1679,5.4,
2020,3,3,20/05/15,False,22673,,815,442,1.3,
2020,3,12,19/05/14,True,85000,,5000,4000,,7.5
2020,3,12,20/05/15,False,88221,,4946,3943,11.4,7.5
2020,6,3,20/07/31,False,19365,,2016,1503,5.4,
2020,9,3,20/11/12,False,20497,,3458,2947,9.6,
2020,12,3,21/01/29,False,20800,,2514,1851,6.2,
2021,3,3,21/05/14,False,20666,,-274,-1198,-3.6,
2021,3,12,20/05/15,True,80000,,6000,4000,,7.5
2021,3,12,21/05/14,False,81328,,7714,5103,15.5,7.5
2021,6,3,21/07/30,False,20563,,3980,3183,11.4,
2021,9,3,21/11/11,False,20422,,2962,2273,7.6,
2021,12,3,22/01/28,False,21254,,5969,4749,16.3,
2022,3,3,22/05/13,False,21773,,1136,1195,4.0,
2022,3,12,21/05/14,True,82000,,7600,5600,,7.5
2022,3,12,21/11/11,True,82500,,12000,9000,,7.5
2022,3,12,22/04/28,True,84000,,14000,11400,,10.0
2022,3,12,22/05/13,False,84012,,14047,11400,38.0,10.0
2022,6,3,22/07/27,False,22199,,4992,4123,14.7,
2022,9,3,22/11/11,False,22313,,4114,3153,11.3,
2022,12,3,23/01/31,False,22116,,771,623,2.2,
2023,3,3,23/05/12,False,25356,,2184,1603,5.7,
2023,3,12,22/05/13,True,86000,,11300,7900,,10.0
2023,3,12,23/05/12,False,91984,,12061,9502,33.9,10.0
2023,6,3,23/07/31,False,21576,,4770,3535,12.6,
2023,9,3,23/11/13,False,21781,,4737,3146,11.2,
2023,12,3,24/01/31,False,20393,,3768,2836,10.1,
2024,3,3,24/05/13,False,21469,,2750,1357,4.8,
2024,3,12,23/05/12,True,85000,,13100,8600,,10.0
2024,3,12,23/10/31,True,85000,,15700,10600,37.8,12.5
2024,3,12,24/05/13,False,85219,,16025,10874,38.8,12.5
2024,6,3,24/07/31,False,22543,,5786,4272,15.2,
2024,9,3,24/11/11,False,23486,,5982,4180,14.9,
2024,12,3,25/01/30,False,22592,,4015,2498,8.9,
2025,3,12,24/05/13,True,88000,,16000,11000,39.2,12.5
2025,3,12,24/10/25,True,92000,,18800,12900,46.0,15
