year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
1999,9,12,,False,10275,95,21,-409,-994.0,0.0
2000,9,12,01/06/15,False,16934,1716,1524,741,790.1,16.67
2001,9,12,01/11/21,False,23925,1907,1764,941,38.2,3.33
2002,9,12,02/11/15,False,26319,1511,1484,346,13.2,4.17
2003,9,12,03/11/13,False,37945,2455,2558,1196,45.6,8.33
2004,9,12,04/11/08,False,49688,3255,3292,1511,56.0,15.0
2005,9,12,05/11/07,False,67212,4560,4611,1885,69.0,20.0
2006,9,12,06/10/31,False,90163,4715,4550,2942,107.6,30.0
2007,9,12,07/11/05,False,108301,2081,1811,-674,-25.4,30.0
2008,9,12,08/11/04,False,98989,1647,1530,-2443,-92.2,0.0
2009,9,12,09/11/13,False,57293,-682,-925,-6870,-212.9,0.0
2010,9,12,10/11/08,False,36084,1331,1223,541,14.1,0.0
2011,9,12,11/11/11,False,34316,1539,1480,2143,55.7,0.0
2012,12,15,13/02/15,False,36896,1779,1772,1427,37.1,0.0
2013,12,12,14/02/14,False,17462,338,578,480,12.5,14.0
2014,12,12,15/02/13,False,20175,1613,1647,1336,34.7,16.0
2015,12,12,16/02/12,False,22618,2297,2168,1765,45.9,18.0
2016,12,12,17/02/10,False,25340,2882,3001,2529,65.9,21.0
2017,12,12,18/02/09,False,32066,4424,4406,2994,78.9,26.0
2018,12,12,19/02/08,False,38852,5896,5286,3310,87.9,32.0
2019,3,3,19/05/10,False,10119,1591,1604,1066,28.3,
2019,6,3,19/08/09,False,11084,1862,1894,1257,33.6,
2019,9,3,19/11/08,False,11535,1914,1980,1295,34.7,
2019,12,3,20/02/07,False,11741,1857,1586,1026,27.5,
2019,12,12,19/02/08,True,42300,6830,6930,4593,,38.0
2019,12,12,20/02/07,False,44479,7224,7064,4644,124.6,40.0
2020,3,3,20/05/15,False,10675,1696,1746,1132,30.5,
2020,6,3,20/08/07,False,10760,1585,1557,1124,30.4,
2020,9,3,20/11/06,False,10479,1391,1396,911,24.7,
2020,12,3,21/02/12,False,11312,1459,1481,946,25.7,
2020,12,12,20/02/07,True,48800,8150,8200,5357,,44.0
2020,12,12,20/05/15,True,,,,,,
2020,12,12,20/08/07,True,41600,5700,5680,3845,,41.0
2020,12,12,21/02/12,False,43226,6131,6180,4113,111.7,41.0
2021,3,3,21/05/14,False,10815,1567,1556,1052,28.7,
2021,6,3,21/08/06,False,12902,2003,2029,1307,35.8,
2021,9,3,21/11/05,False,14359,2234,2242,1481,40.6,
2021,12,3,22/02/10,False,14290,1788,1797,1172,32.1,
2021,12,12,21/02/12,True,45400,6200,6230,4117,,42.0
2021,12,12,21/08/06,True,47840,7000,7040,4645,,43.0
2021,12,12,21/11/05,True,51100,7550,7570,5024,,44.0
2021,12,12,22/02/10,False,52366,7592,7624,5012,137.3,44.0
2022,3,3,22/05/13,False,15271,2448,2485,1727,47.5,
2022,6,3,22/08/12,False,15531,2390,2418,1592,43.9,
2022,9,3,22/11/11,False,16457,2629,2631,1771,48.9,
2022,12,3,23/02/10,False,17386,2356,2350,1532,42.4,
2022,12,12,22/02/10,True,54730,8000,8030,5316,,46.0
2022,12,12,22/08/12,True,61000,9200,9260,6173,,55.0
2022,12,12,22/11/11,True,62500,9700,9710,6521,,58.0
2022,12,12,23/02/10,False,64645,9823,9884,6622,183.1,58.0
2023,3,3,23/05/12,False,15963,2382,2393,1578,43.7,
2023,6,3,23/08/10,False,17159,2214,2173,1623,45.2,
2023,9,3,23/11/10,False,17251,2017,2024,1365,38.1,
2023,12,3,24/02/09,False,18601,2045,2096,1323,37.0,
2023,12,12,23/02/10,True,66260,10000,10000,6668,,59.0
2023,12,12,23/11/10,True,67200,8400,8400,5735,,59.0
2023,12,12,24/02/09,False,68974,8658,8686,5889,164.9,61.0
2024,3,3,24/05/10,False,17133,2356,2332,2202,62.6,
2024,6,3,24/08/09,False,16524,1908,1989,1323,37.6,
2024,9,3,24/11/08,False,16863,959,1003,615,17.5,
2024,12,12,24/02/09,True,70500,7200,7233,5045,143.3,62.0
