date,open,high,low,close,volume,rs_nikkei,rs_topix
2024/02/27,3350.0,3350.0,3350.0,3350.0,200,-1.0,-1.0
2024/02/28,,,,,0,-1.0,-1.0
2024/02/29,,,,,0,-1.0,-1.0
2024/03/01,,,,,0,-1.0,-1.0
2024/03/04,,,,,0,-1.0,-1.0
2024/03/05,,,,,0,-1.0,-1.0
2024/03/06,,,,,0,-1.0,-1.0
2024/03/07,,,,,0,-1.0,-1.0
2024/03/08,,,,,0,-1.0,-1.0
2024/03/11,,,,,0,-1.0,-1.0
2024/03/12,,,,,0,-1.0,-1.0
2024/03/13,,,,,0,-1.0,-1.0
2024/03/14,,,,,0,-1.0,-1.0
2024/03/15,,,,,0,-1.0,-1.0
2024/03/18,,,,,0,-1.0,-1.0
2024/03/19,,,,,0,-1.0,-1.0
2024/03/21,,,,,0,-1.0,-1.0
2024/03/22,,,,,0,-1.0,-1.0
