date,open,high,low,close,volume
2021/12/10,7562.0,7580.0,7562.0,7580.0,7
2021/12/13,7540.0,7540.0,7539.0,7539.0,32
2021/12/14,,,,,0
2021/12/15,7540.0,7540.0,7540.0,7540.0,60
2021/12/16,7540.0,7540.0,7539.0,7539.0,5
2021/12/17,,,,,0
2021/12/20,7552.0,7570.0,7552.0,7570.0,1004
2021/12/21,7560.0,7560.0,7560.0,7560.0,2
2021/12/22,7529.0,7529.0,7529.0,7529.0,1
2021/12/23,7530.0,7530.0,7515.0,7515.0,5
2021/12/24,,,,,0
2021/12/27,7510.0,7510.0,7510.0,7510.0,3
2021/12/28,7520.0,7520.0,7500.0,7500.0,5
2021/12/29,,,,,0
2021/12/30,7482.0,7482.0,7470.0,7470.0,1004
2022/01/04,7442.0,7442.0,7421.0,7421.0,55
2022/01/05,7420.0,7420.0,7411.0,7414.0,16
2022/01/06,7389.0,7389.0,7364.0,7364.0,74
2022/01/07,7353.0,7370.0,7351.0,7351.0,197
2022/01/11,7349.0,7349.0,7324.0,7333.0,142
2022/01/12,7359.0,7359.0,7359.0,7359.0,2
2022/01/13,,,,,0
2022/01/14,,,,,0
2022/01/17,7340.0,7340.0,7310.0,7310.0,1028
2022/01/18,7292.0,7292.0,7290.0,7290.0,1002
2022/01/19,,,,,0
2022/01/20,7271.0,7271.0,7271.0,7271.0,23
2022/01/21,,,,,0
2022/01/24,7330.0,7330.0,7330.0,7330.0,73
2022/01/25,,,,,0
2022/01/26,7340.0,7343.0,7338.0,7340.0,35
2022/01/27,7288.0,7288.0,7271.0,7271.0,33
2022/01/28,7309.0,7309.0,7309.0,7309.0,14
2022/01/31,7299.0,7317.0,7299.0,7317.0,2
2022/02/01,,,,,0
2022/02/02,7309.0,7309.0,7309.0,7309.0,1
2022/02/03,7340.0,7340.0,7340.0,7340.0,2
2022/02/04,7303.0,7303.0,7290.0,7290.0,1003
2022/02/07,7259.0,7259.0,7240.0,7240.0,15
2022/02/08,,,,,0
2022/02/09,,,,,0
2022/02/10,7239.0,7239.0,7219.0,7223.0,16
2022/02/14,7224.0,7224.0,7212.0,7212.0,2
2022/02/15,7204.0,7204.0,7188.0,7188.0,7
2022/02/16,7165.0,7165.0,7165.0,7165.0,1
2022/02/17,7180.0,7200.0,7175.0,7200.0,2003
2022/02/18,,,,,0
2022/02/21,,,,,0
2022/02/22,,,,,0
2022/02/24,7242.0,7270.0,7242.0,7270.0,3000
2022/02/25,,,,,0
2022/02/28,7243.0,7243.0,7243.0,7243.0,1
2022/03/01,7277.0,7277.0,7277.0,7277.0,1
2022/03/02,,,,,0
2022/03/03,,,,,0
2022/03/04,7310.0,7361.0,7310.0,7323.0,3002
2022/03/07,7375.0,7388.0,7366.0,7388.0,27094
2022/03/08,7328.0,7328.0,7308.0,7308.0,12
2022/03/09,7282.0,7284.0,7272.0,7283.0,6020
2022/03/10,7234.0,7234.0,7231.0,7231.0,5
2022/03/11,7216.0,7216.0,7209.0,7209.0,754
2022/03/14,7185.0,7185.0,7154.0,7160.0,5
2022/03/15,7097.0,7103.0,7097.0,7103.0,12
2022/03/16,,,,,0
2022/03/17,,,,,0
2022/03/18,,,,,0
2022/03/22,7000.0,7000.0,6990.0,6990.0,3
2022/03/23,,,,,0
2022/03/24,6980.0,6980.0,6970.0,6970.0,10013
2022/03/25,6969.0,6972.0,6969.0,6972.0,4
2022/03/28,6920.0,6920.0,6849.0,6849.0,14521
2022/03/29,6894.0,6895.0,6885.0,6891.0,105
2022/03/30,6960.0,6960.0,6960.0,6960.0,500
2022/03/31,6962.0,6962.0,6962.0,6962.0,1
2022/04/01,6950.0,6950.0,6950.0,6950.0,20
2022/04/04,6955.0,6955.0,6955.0,6955.0,6
2022/04/05,6954.0,6954.0,6947.0,6947.0,3
2022/04/06,6864.0,6864.0,6815.0,6815.0,3510
2022/04/07,6817.0,6817.0,6817.0,6817.0,1
2022/04/08,6816.0,6818.0,6816.0,6818.0,2
2022/04/11,6754.0,6754.0,6748.0,6748.0,29544
2022/04/12,6748.0,6748.0,6727.0,6727.0,3
2022/04/13,6754.0,6754.0,6754.0,6754.0,1
2022/04/14,6771.0,6793.0,6771.0,6793.0,2932
2022/04/15,6990.0,6990.0,6990.0,6990.0,1
2022/04/18,6727.0,6727.0,6687.0,6710.0,5034
2022/04/19,,,,,0
2022/04/20,6652.0,6667.0,6638.0,6667.0,5
2022/04/21,6684.0,6684.0,6684.0,6684.0,1
2022/04/22,6635.0,6639.0,6635.0,6639.0,3011
2022/04/25,6695.0,6695.0,6695.0,6695.0,10
2022/04/26,,,,,0
2022/04/27,,,,,0
2022/04/28,6725.0,6725.0,6721.0,6721.0,53
2022/05/02,6637.0,6666.0,6637.0,6659.0,3065
2022/05/06,6659.0,6659.0,6581.0,6590.0,3149
2022/05/09,6556.0,6556.0,6515.0,6515.0,12
