date,open,high,low,close,volume,rs_nikkei,rs_topix,rs
2018/12/13,855.0,879.0,766.0,776.0,4774300,-1.0,-1.0,-1.0
2018/12/14,814.0,926.0,796.0,829.0,6910000,-1.0,-1.0,-1.0
2018/12/17,840.0,850.0,732.0,736.0,1820000,-1.0,-1.0,-1.0
2018/12/18,720.0,753.0,700.0,715.0,705800,-1.0,-1.0,-1.0
2018/12/19,720.0,756.0,702.0,729.0,400900,-1.0,-1.0,-1.0
2018/12/20,742.0,774.0,710.0,730.0,608100,-1.0,-1.0,-1.0
2018/12/21,724.0,745.0,679.0,699.0,383400,-1.0,-1.0,-1.0
2018/12/25,650.0,675.0,638.0,651.0,262200,-1.0,-1.0,-1.0
2018/12/26,671.0,678.0,607.0,618.0,217500,-1.0,-1.0,-1.0
2018/12/27,658.0,665.0,642.0,643.0,170300,-1.0,-1.0,-1.0
2018/12/28,650.0,653.0,635.0,635.0,97500,-1.0,-1.0,-1.0
2019/01/04,605.0,638.0,602.0,632.0,58500,-1.0,-1.0,-1.0
2019/01/07,650.0,670.0,647.0,660.0,69400,-1.0,-1.0,-1.0
2019/01/08,673.0,729.0,671.0,696.0,188400,-1.0,-1.0,-1.0
2019/01/09,701.0,746.0,701.0,719.0,190000,-1.0,-1.0,-1.0
2019/01/10,723.0,735.0,683.0,693.0,138500,-1.0,-1.0,-1.0
2019/01/11,703.0,714.0,693.0,695.0,79000,-1.0,-1.0,-1.0
2019/01/15,691.0,707.0,688.0,702.0,46600,-1.0,-1.0,1.0440280615493511
2019/01/16,702.0,704.0,683.0,687.0,48600,-1.0,-1.0,1.0262691821798005
2019/01/17,686.0,696.0,676.0,691.0,48200,-1.0,-1.0,1.0723194636387627
2019/01/18,731.0,747.0,718.0,725.0,163000,-1.0,-1.0,1.078119283345474
2019/01/21,735.0,739.0,702.0,703.0,67900,-1.0,-1.0,1.0145213853733541
2019/01/22,709.0,720.0,701.0,707.0,32300,-1.0,-1.0,1.0236497555109163
2019/01/23,705.0,728.0,703.0,713.0,48900,-1.0,-1.0,1.0440436668956923
2019/01/24,711.0,731.0,705.0,725.0,51700,-1.0,-1.0,1.065624589478099
2019/01/25,734.0,734.0,709.0,718.0,62900,-1.0,-1.0,1.1135636005333718
2019/01/28,718.0,723.0,706.0,715.0,38200,-1.0,-1.0,1.0855488872881789
2019/01/29,715.0,715.0,697.0,713.0,53000,-1.0,-1.0,1.0798548372755665
2019/01/30,706.0,711.0,697.0,701.0,32900,-1.0,-1.0,1.0714116002050147
2019/01/31,701.0,709.0,698.0,702.0,38000,-1.0,-1.0,1.0555548273639686
2019/02/01,703.0,723.0,700.0,720.0,46200,-1.0,-1.0,1.078238779548677
2019/02/04,718.0,756.0,718.0,753.0,103000,-1.0,-1.0,1.1128559779466956
2019/02/05,751.0,758.0,730.0,733.0,81700,-1.0,-1.0,1.0843369814840131
2019/02/06,741.0,741.0,716.0,723.0,41400,-1.0,-1.0,1.073585086017331
2019/02/07,725.0,737.0,713.0,737.0,48000,-1.0,-1.0,1.0075326040043138
2019/02/08,722.0,726.0,715.0,720.0,36000,-1.0,-1.0,0.9662441258606321
2019/02/12,721.0,727.0,713.0,727.0,69400,-1.0,-1.0,1.016979170679801
2019/02/13,733.0,750.0,728.0,745.0,61100,-1.0,-1.0,1.0363847244095503
2019/02/14,717.0,726.0,696.0,717.0,110700,-1.0,-1.0,0.9405263741720578
2019/02/15,708.0,721.0,688.0,720.0,65100,-1.0,-1.0,0.9802307647503689
2019/02/18,729.0,729.0,717.0,717.0,25900,-1.0,-1.0,0.983119821639081
2019/02/19,718.0,727.0,717.0,723.0,26200,-1.0,-1.0,0.9868993633830013
2019/02/20,753.0,753.0,723.0,730.0,95800,-1.0,-1.0,0.9980294207338588
2019/02/21,731.0,733.0,720.0,724.0,18600,-1.0,-1.0,0.9841543824841904
2019/02/22,724.0,733.0,718.0,733.0,29100,-1.0,-1.0,0.9857086583385662
2019/02/25,735.0,741.0,722.0,726.0,18800,-1.0,-1.0,0.9600327486104916
2019/02/26,724.0,735.0,718.0,722.0,31900,-1.0,-1.0,0.957273198476871
2019/02/27,728.0,728.0,721.0,721.0,14000,-1.0,-1.0,0.9538414720005453
2019/02/28,723.0,727.0,714.0,715.0,35600,-1.0,-1.0,0.9582231791912718
2019/03/01,714.0,718.0,705.0,718.0,43300,-1.0,-1.0,0.9685098566248524
2019/03/04,719.0,720.0,708.0,720.0,29800,-1.0,-1.0,0.8766068232003809
2019/03/05,715.0,718.0,711.0,716.0,13100,-1.0,-1.0,0.8824940147525634
2019/03/06,718.0,732.0,713.0,715.0,21800,-1.0,-1.0,0.8789362867833337
2019/03/07,716.0,720.0,711.0,711.0,20900,-1.0,-1.0,0.9220674668264383
2019/03/08,705.0,705.0,699.0,705.0,20900,-1.0,-1.0,0.9555956775687636
2019/03/11,701.0,711.0,700.0,705.0,16200,-1.0,-1.0,0.9293942293990426
2019/03/12,707.0,712.0,702.0,704.0,18700,-1.0,-1.0,0.9143571604636281
2019/03/13,700.0,705.0,691.0,696.0,28400,-1.0,-1.0,0.9129189093112767
2019/03/14,696.0,703.0,678.0,690.0,53500,-1.0,-1.0,0.907433482630884
2019/03/15,690.0,702.0,690.0,691.0,16600,-1.0,-1.0,0.9127405235344781
2019/03/18,699.0,713.0,697.0,703.0,39900,-1.0,-1.0,0.9979604384588869
2019/03/19,705.0,712.0,701.0,712.0,20200,-1.0,-1.0,1.010992494151528
2019/03/20,727.0,727.0,710.0,710.0,57200,-1.0,-1.0,1.002693674208778
2019/03/22,706.0,715.0,695.0,713.0,52500,-1.0,-1.0,0.9886490146477969
2019/03/25,700.0,714.0,698.0,710.0,28900,-1.0,-1.0,1.0248525403508792
2019/03/26,710.0,716.0,705.0,713.0,31600,-1.0,-1.0,1.0006357539603565
2019/03/27,701.0,707.0,693.0,696.0,20600,-1.0,-1.0,0.9702951396953557
2019/03/28,702.0,702.0,693.0,696.0,34200,-1.0,-1.0,0.9937140559968105
2019/03/29,703.0,703.0,693.0,699.0,19500,-1.0,-1.0,0.9987151916272502
2019/04/01,705.0,708.0,691.0,692.0,23400,-1.0,-1.0,0.970547847452929
2019/04/02,699.0,699.0,684.0,692.0,21000,-1.0,-1.0,0.9717664606138533
2019/04/03,704.0,704.0,687.0,693.0,29900,-1.0,-1.0,0.968323044574097
2019/04/04,697.0,700.0,692.0,694.0,12600,-1.0,-1.0,0.9723468355806518
2019/04/05,695.0,695.0,678.0,691.0,34200,-1.0,-1.0,0.9577010808557793
2019/04/08,690.0,706.0,690.0,697.0,24100,-1.0,-1.0,0.9649182230300576
2019/04/09,698.0,698.0,691.0,694.0,10600,-1.0,-1.0,0.9622338707198893
2019/04/10,686.0,694.0,686.0,694.0,15300,-1.0,-1.0,0.9691204859651279
2019/04/11,694.0,694.0,687.0,693.0,12600,-1.0,-1.0,0.984553615711268
2019/04/12,694.0,694.0,685.0,690.0,10300,-1.0,-1.0,0.9829065668261824
2019/04/15,691.0,693.0,687.0,690.0,7200,-1.0,-1.0,0.9574942082597159
2019/04/16,691.0,703.0,691.0,698.0,11600,-1.0,-1.0,0.9765756271048989
2019/04/17,698.0,709.0,697.0,702.0,30400,-1.0,-1.0,0.9841085884099924
2019/04/18,705.0,707.0,700.0,707.0,20300,-1.0,-1.0,0.977207617323021
2019/04/19,715.0,715.0,702.0,708.0,56900,-1.0,-1.0,0.9907279602325479
2019/04/22,709.0,712.0,703.0,706.0,10700,-1.0,-1.0,0.9528738956074745
2019/04/23,706.0,707.0,698.0,699.0,8700,-1.0,-1.0,0.9356602245240213
2019/04/24,696.0,702.0,696.0,698.0,17600,-1.0,-1.0,0.9415305018152692
2019/04/25,702.0,703.0,695.0,700.0,9200,-1.0,-1.0,0.9626090456713812
2019/04/26,699.0,700.0,697.0,698.0,9000,-1.0,-1.0,0.9970675527327015
2019/05/07,700.0,700.0,688.0,690.0,11000,-1.0,-1.0,1.0140250589076765
2019/05/08,692.0,703.0,692.0,703.0,10600,-1.0,-1.0,1.0532179158182309
2019/05/09,707.0,710.0,697.0,703.0,12000,-1.0,-1.0,1.0773017442135298
2019/05/10,703.0,704.0,693.0,697.0,9700,-1.0,-1.0,1.0686806169952174
2019/05/13,700.0,702.0,693.0,696.0,11800,-1.0,-1.0,1.0944194622887669
2019/05/14,690.0,695.0,686.0,691.0,19700,-1.0,-1.0,1.0992503126999529
2019/05/15,683.0,684.0,653.0,661.0,68700,-1.0,-1.0,0.9806656151452524
2019/05/16,655.0,655.0,642.0,642.0,27600,-1.0,-1.0,0.9488916049370218
2019/05/17,652.0,657.0,645.0,657.0,23200,-1.0,-1.0,0.9533921209286635
2019/05/20,663.0,663.0,649.0,649.0,44100,-1.0,-1.0,0.9448895130042647
2019/05/21,642.0,645.0,632.0,636.0,17200,-1.0,-1.0,0.9252698311165626
2019/05/22,635.0,642.0,635.0,639.0,9700,-1.0,-1.0,0.9298561777252545
2019/05/23,636.0,636.0,625.0,628.0,9600,-1.0,-1.0,0.9216845302912233
