date,open,high,low,close,volume
2020/09/29,,,,,0
2020/09/30,,,,,0
2020/10/01,,,,,0
2020/10/02,14280.0,14500.0,11855.0,13500.0,166700
2020/10/05,14000.0,16000.0,12615.0,16000.0,312100
2020/10/06,17050.0,18125.0,15150.0,15475.0,590000
2020/10/07,15125.0,15900.0,14130.0,14435.0,232000
2020/10/08,14915.0,15000.0,13775.0,14025.0,135300
2020/10/09,13900.0,14025.0,13060.0,13505.0,117500
2020/10/12,13975.0,15650.0,13635.0,14525.0,272800
2020/10/13,14775.0,14835.0,14020.0,14030.0,135900
2020/10/14,13725.0,13915.0,13405.0,13535.0,59000
2020/10/15,13785.0,13795.0,13110.0,13200.0,47800
2020/10/16,13015.0,13165.0,12250.0,12380.0,60700
2020/10/19,12550.0,13145.0,11350.0,11370.0,108800
2020/10/20,11300.0,11330.0,10455.0,10970.0,83800
2020/10/21,10855.0,11350.0,10625.0,10750.0,68400
2020/10/22,10950.0,11080.0,9855.0,10100.0,47000
2020/10/23,9975.0,9975.0,9125.0,9500.0,81400
2020/10/26,9365.0,9560.0,8465.0,8500.0,74600
2020/10/27,7900.0,10490.0,7880.0,10060.0,393600
2020/10/28,10165.0,11060.0,9180.0,9300.0,332000
2020/10/29,9150.0,9740.0,8825.0,9575.0,145700
2020/10/30,9600.0,9600.0,8310.0,8450.0,106400
2020/11/02,8510.0,8875.0,7925.0,8180.0,57200
2020/11/04,8580.0,8975.0,8355.0,8840.0,80700
2020/11/05,9040.0,9275.0,8600.0,8655.0,114200
2020/11/06,8680.0,8770.0,8330.0,8455.0,60600
2020/11/09,8680.0,9840.0,8645.0,9495.0,161100
2020/11/10,9010.0,9100.0,8410.0,8960.0,103700
2020/11/11,8810.0,9225.0,8630.0,8770.0,70300
2020/11/12,9005.0,9075.0,8550.0,8990.0,57200
2020/11/13,8915.0,10000.0,8750.0,9700.0,187900
2020/11/16,8750.0,9230.0,8605.0,8775.0,80400
2020/11/17,8780.0,8850.0,7960.0,8300.0,67800
2020/11/18,8145.0,8550.0,7940.0,8110.0,40400
2020/11/19,8220.0,8595.0,8120.0,8175.0,46600
2020/11/20,8205.0,8275.0,8005.0,8045.0,28900
2020/11/24,8140.0,8180.0,8000.0,8010.0,23700
2020/11/25,8010.0,8045.0,7460.0,7490.0,68700
2020/11/26,7490.0,7530.0,7010.0,7035.0,45600
2020/11/27,6905.0,7725.0,6900.0,7400.0,81200
2020/11/30,7475.0,7650.0,7250.0,7430.0,31900
2020/12/01,7570.0,7715.0,7340.0,7440.0,41700
