date,open,high,low,close,volume
2024/02/26,686,688,685,687,6700
2024/02/27,687,688,687,688,1200
2024/02/28,689,689,683,687,3400
2024/02/29,689,689,685,685,2100
2024/03/01,682,686,682,685,2300
2024/03/04,685,690,680,684,5800
2024/03/05,687,687,684,684,700
2024/03/06,684,690,684,690,1500
2024/03/07,690,695,670,686,9300
2024/03/08,682,690,682,690,1200
2024/03/11,690,690,685,689,800
2024/03/12,789,789,778,789,47100
2024/03/13,800,800,752,790,33200
2024/03/14,788,825,776,810,24900
2024/03/15,792,805,780,805,12600
2024/03/18,790,870,774,824,24700
2024/03/19,814,827,810,823,2900
2024/03/21,822,822,806,807,6200
2024/03/22,802,808,785,790,11600
2024/03/25,800,800,793,796,2000
2024/03/26,794,795,793,795,1000
2024/03/27,795,796,793,795,3500
2024/03/28,781,789,781,783,6500
2024/03/29,790,790,780,785,4900
2024/04/01,791,791,780,780,2600
2024/04/02,780,786,771,772,2800
2024/04/03,777,780,772,779,4800
2024/04/04,774,779,764,775,7100
2024/04/05,775,775,762,773,4800
2024/04/08,773,773,768,770,1400
2024/04/09,768,770,762,769,4100
2024/04/10,769,772,769,771,1900
