code,relative_strength
3778,633.2130638953661
8783,454.9810890140345
6016,437.3089414756027
3905,395.6411092946346
2743,395.46618617619106
6315,388.26090728188694
3498,350.5735448501707
7014,346.084177039413
9055,335.87844819140406
9099,314.45580496688746
