ticker
ACMR
ADSK
AGO
ALSN
AMZN
ANIP
APPF
AZZ
BGC
CAT
CELH
CRM
CRWD
DDOG
DECK
DTST
ELF
ETN
FWRG
HCI
HOOD
HWKN
INTU
KAMN
KEQU
KNSL
KRT
MAMA
MARA
META
MGNX
MLM
MMYT
MOD
NOW
NU
OSG
PAY
PCAR
PH
PKOH
PLTR
POWL
REVG
SCS
SEMR
SNPS
SPNT
TDG
TDW
UBER
USAP
USLM
UTI
