現地コード,銘柄名(English),銘柄名,市場,業種,取扱
A,AGILENT TECH,アジレント・テクノロジー,NYSE,その他,○
AA,ALCOA CORP,アルコア,NYSE,アルミ,○
AADI,AADI BIOSCIENCE,アーディ・バイオサイエンス,NASDAQ,医薬品（バイオテクノロジー）,○
AAL,AMERICAN AIRLINE,アメリカン・エアーラインズ・グループ,NASDAQ,航空,○
AAMI,ACADIAN ASSET,アカディアン・アセット・マネジメント,NYSE,その他,○
AAOI,APPLIED OPTOELEC,アプライド・オプトエレクトロニクス,NASDAQ,その他製造,○
AAON,AAON INC,AAON,NASDAQ,その他製造,○
AAP,ADVANCE AUTO PAR,アドバンス・オート・パーツ,NYSE,小売,○
AAPB,GNS AAPL 2X LONG,グラナイトシェアーズ2倍ロングAAPLデイリーETF,NASDAQ,その他,○
AAPD,DRX AAPL BR1X,Direxion デイリー AAPL株 ベア1倍 ETF,NASDAQ,その他,○
AAPG,ASCENTAGE PHARMA,アセンテージ・ファーマ・グループ・インターナショナル,NASDAQ,医薬品（バイオテクノロジー）,○
AAPL,APPLE INC,アップル,NASDAQ,コンピュータ,○
AAPU,DRX AAPL BL2X,Direxion デイリー AAPL ブル2倍株式,NASDAQ,その他,○
ABBV,ABBVIE INC,アッヴィ,NYSE,医薬品,○
ABCB,AMERIS BANCORP,アメリス・バンコープ,NYSE,金融（銀行）,○
ABCL,ABCELLERA BIOLOG,アブセレラ・バイオロジクス,NASDAQ,医薬品,○
ABEO,ABEONA THERAPE,アベオナ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ABEV,AMBEV SA ADR,アンベブ,NYSE,飲料,○
ABG,ASBURY AUTOMOTIV,アズベリー・オートモーティブ・グループ,NYSE,小売,○
ABL,ABACUS LIFE INC,アバカス・ライフ,NASDAQ,金融(保険),○
ABM,ABM INDUSTRIES,ABMインダストリーズ,NYSE,ソフトウェア・サービス,○
ABNB,AIRBNB,エアビーアンドビー,NASDAQ,ソフトウェア・サービス,○
ABOS,ACUMEN PHARMA,アキューメン・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ABSI,ABSCI CORP,アブサイ,NASDAQ,医薬品（バイオテクノロジー）,○
ABT,ABBOTT LABOR,アボットラボラトリーズ,NYSE,医薬品,○
ABTS,ABITS GROUP,アビッツ・グループ,NASDAQ,ソフトウェア・サービス,○
ABUS,ARBUTUS BIOPHARM,アービュタス・バイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
ABVC,ABVC BIOPHARMA,ABVCバイオファーマ,NASDAQ,医薬品（バイオテクノロジー）,○
AC,ASSOCIAT CAPITAL,アソシエイテッド・キャピタル・グループ,NYSE,金融コングロマリット,○
ACA,ARCOSA INC,アルコサ,NYSE,その他製造,○
ACAD,ACADIA PHARMA,アカディア・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ACB,AURORA CANNABIS,オーロラ・カンナビス,NASDAQ,医薬品,○
ACCD,ACCOLADE INC,アコレイド,NASDAQ,ヘルスケア,○
ACCO,ACCO BRANDS CORP,エッコー・ブランズ,NYSE,専門店,○
ACCS,ACCESS NEWSWIRE,アクセス・ニュースワイヤー,NYSE,情報処理サービス,○
ACDC,PROFRAC HLD,プロフラック,NASDAQ,石油,○
ACEL,ACCEL ENTMT INC,アクセル・エンターテインメント,NYSE,エンターテイメント,○
ACET,ADICET BIO INC,アディセット・バイオ,NASDAQ,医薬品（バイオテクノロジー）,○
ACGL,ARCH CAPITAL,アーチ・キャピタル・グループ,NASDAQ,金融(保険),○
ACHC,ACADIA HEALTHCAR,アカディア・ヘルスケア,NASDAQ,ヘルスケア,○
ACHL,ACHILLES THERAPE,アキレス・セラピューティクス,NASDAQ,医薬品,○
ACHR,ARCHER AVIATION,アーチャー・アビエーション,NYSE,航空機・宇宙,○
ACHV,ACHIEVE LIFE SC,アチーブ・ライフ・サイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
ACI,ALBERTSONS COMP,アルバートソンズ,NYSE,小売,○
ACIC,AMERI COAS INSUR,アメリカン・コウスタル・インシュランス,NASDAQ,金融(保険),○
ACIU,AC IMMUNE SA,ACイミューン,NASDAQ,医薬品（バイオテクノロジー）,○
ACIW,ACI WORLDWIDE IN,ACIワールドワイド,NASDAQ,ソフトウェア・サービス,○
ACLS,AXCELIS TECH,アクセリス・テクノロジーズ,NASDAQ,半導体,○
ACLX,ARCELLX INC,アーセルクス,NASDAQ,医薬品（バイオテクノロジー）,○
ACM,AECOM,エイコム,NYSE,その他,○
ACMR,ACM RESEARCH,ACMリサーチ,NASDAQ,半導体製造,○
ACN,ACCENTURE PLC,アクセンチュア,NYSE,ソフトウェア・サービス,○
ACNB,ACNB CORPORATION,ACNB,NASDAQ,金融（銀行）,○
ACNT,ASCENT INDUSTR,アセント・インダストリーズ,NASDAQ,その他製造,○
ACRS,ACLARIS THERAPEU,アクラリス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ACRV,ACRIVON THERAP,アクリボン・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ACT,ENACT HOLDINGS,エナクト・ホールディングス,NASDAQ,金融(保険),○
ACTG,ACACIA RESEARCH,アカシア・リサーチ,NASDAQ,その他,○
ACU,ACME UNITED CORP,アクメ・ユナイテッド,NYSE,その他製造,○
ACVA,ACV AUCTIONS INC,ACVオークションズ,NASDAQ,ソフトウェア・サービス,○
ACWI,ISHARES ACWI,iシェアーズ MSCI ACWI ETF,NASDAQ,その他,○
ACXP,ACURX PHARMA,アクルックス・ファーマスーティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ADAG,ADAGENE INC,アダジェン,NASDAQ,医薬品（バイオテクノロジー）,○
ADAP,ADAPTIMMUNE THER,アダプティミューン・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ADBE,ADOBE INC,アドビ,NASDAQ,ソフトウェア・サービス,○
ADCT,ADC THERAPEUTICS,ADCセラピューティクス,NYSE,医薬品（バイオテクノロジー）,○
ADD,COLOR STAR TECHN,カラー・スター・テクノロジー,NASDAQ,ソフトウェア・サービス,○
ADEA,ADEIA INC,アディア,NASDAQ,半導体,○
ADI,ANALOG DEVICES,アナログ・デバイセズ,NASDAQ,半導体,○
ADIL,ADIAL PHARMACEU,エーダイヤル・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ADM,ARCHER DANIELS,アーチャー・ダニエルズ・ミッドランド,NYSE,食品,○
ADMA,ADMA BIOLOGICS,ADMAバイオロジックス,NASDAQ,医薬品（バイオテクノロジー）,○
ADN,ADVENT TECHNO HD,アドベント・テクノロジーズ・ホールディングス,NASDAQ,電力,○
ADNT,ADIENT LTD,アディエント,NYSE,その他製造,○
ADP,AUTOMATIC DATA,オートマチック・データ・プロセッシング (ADP),NASDAQ,情報処理サービス,○
ADPT,ADAPTIVE BIOTECH,アダプティブ・バイオテクノロジーズ,NASDAQ,ヘルスケア,○
ADSE,ADS TEC ENERGY,ADSテック・エナジー,NASDAQ,自動車,○
ADSK,AUTODESK.INC.,オートデスク,NASDAQ,その他,○
ADT,ADT INC,ADT,NYSE,ソフトウェア・サービス,○
ADTN,ADTRAN HOLDINGS,アドトラン・ホールディングス,NASDAQ,通信機器,○
ADTX,ADITXT INC,アディトクス,NASDAQ,ヘルスケア,○
ADUS,ADDUS HOMECARE,アダス・ホームケア,NASDAQ,ヘルスケア,○
ADV,ADVANTAGE SOLN,アドバンテージ・ソリューションズ,NASDAQ,ソフトウェア・サービス,○
ADVM,ADVERUM BIOTECH,アドベラム・バイオテクノロジーズ,NASDAQ,医薬品（バイオテクノロジー）,○
ADXN,ADDEX THERAPE,アデックス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
AEE,AMEREN CORP.,アメレン,NYSE,その他製造,○
AEG,AEGON LTD,エイゴン,NYSE,金融(保険),○
AEHL,ANTELOPE ENT,アンテロープ・エンタープライズ・ホールディング,NASDAQ,その他製造,○
AEHR,AEHR TEST SYSTEM,エア・テスト・システムズ,NASDAQ,半導体,○
AEI,ALSET INC,アルセット,NASDAQ,その他,○
AEIS,ADVANCED ENERGY,アドバンストエナジーインダストリーズ,NASDAQ,その他製造,○
AEM,AGNICO EAGLE,アグニコ・イーグル・マインズ,NYSE,その他,○
AEMD,AETHLON MEDICAL,エスロン・メディカル,NASDAQ,ヘルスケア,○
AEO,AMERICAN EAGLE,アメリカン・イーグル・アウトフィッターズ,NYSE,専門店,○
AEON,AEON BIOPHARMA,イオン・バイオファーマ,NYSE,医薬品（バイオテクノロジー）,○
AEP,AMERICAN ELEC,アメリカン・エレクトリック・パワー,NASDAQ,その他製造,○
AER,AERCAP HOLDINGS,エアキャップ・ホールディングス,NYSE,航空,○
AES,AES CORPORATION,AES,NYSE,その他製造,○
AESI,ATLAS ENERGY SLT,アトラス・エナジー・ソリューションズ,NYSE,石油,○
AEVA,AEVA TECHNO,エヴァ・テクノロジーズ,NASDAQ,ソフトウェア・サービス,○
AEYE,AUDIOEYE INC,オーディオアイ,NASDAQ,ソフトウェア・サービス,○
AFBI,AFFINITY BANCSH,アフィニティ・バンクシェアーズ,NASDAQ,金融（銀行）,○
AFCG,ADVANCED FLOWER,アドバンスド・フラワー・キャピタル,NASDAQ,運輸,○
AFG,AMERICAN FINANCI,アメリカン・ファイナンシャル・グループ,NYSE,金融(保険),○
AFK,V AFRICA,ヴァンエック・アフリカ・インデックスETF,NYSE,その他,○
AFL,AFLAC INC,アフラック,NYSE,金融(保険),○
AFMD,AFFIMED NV,アフィメド,NASDAQ,医薬品（バイオテクノロジー）,○
AFRI,FORAFRIC GLOBAL,フォラフリック・グローバル,NASDAQ,食品,○
AFRM,AFFIRM HOLDINGS,アファーム・ホールディングス,NASDAQ,ソフトウェア・サービス,○
AFYA,AFYA LIMITED,アフヤ,NASDAQ,ソフトウェア・サービス,○
AG,1ST MAJESTC SLVR,ファースト・マジェスティック・シルバー,NYSE,その他製造,○
AGAE,ALLIED GAMING ET,アライド・ゲーミング・アンド・エンターテイメント,NASDAQ,エンターテイメント,○
AGCO,AGCO CORPORATION,アグコ,NYSE,機械,○
AGEN,AGENUS INC,アジェナス,NASDAQ,医薬品（バイオテクノロジー）,○
AGFY,AGRIFY CORP,アグリファイ,NASDAQ,医薬品（バイオテクノロジー）,○
AGG,ISHARESCORE BOND,iシェアーズ　コア米国総合債券ETF,NYSE,その他,○
AGGY,WM ENHANCED AGGB,ウィズダムツリー 米国債券ファンド（利回り強化型）,NYSE,その他,○
AGI,ALAMOS GOLD INC,アラモス・ゴールド,NYSE,その他,○
AGIO,AGIOS PHARMA,アジオス・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
AGL,AGILON HEALTH,アジロン・ヘルス,NYSE,ソフトウェア・サービス,○
AGM,FED AGRICULTURAL,フェデラル・アグリカルチャラル・モーゲージ,NYSE,金融（銀行）,○
AGMH,AGM GROUP,AGMグループ・ホールディングス,NASDAQ,ソフトウェア・サービス,○
AGO,ASSURED GUARANTY,アシュアード･ギャランティー,NYSE,金融(保険),○
AGRI,AGRIFORCE GR SYS,アグリフォース・グローイング・システムズ,NASDAQ,その他,○
AGRO,ADECOAGRO SA,アデコアグロ,NYSE,食品,○
AGS,PLAYAGS INC,プレイAGS,NYSE,エンターテイメント,○
AGX,ARGAN INC,アルガン,NYSE,電力,○
AGYS,AGILYSYS INC,アジリシス,NASDAQ,ソフトウェア・サービス,○
AHCO,ADAPTHEALTH CORP,アダプトヘルス,NASDAQ,医療サービス,○
AHG,AKSO HEALTH,アクソ・ヘルス,NASDAQ,金融（銀行）,○
AI,C3 AI,シースリー・エーアイ,NYSE,ソフトウェア・サービス,○
AIFU,FANHUA INC.,フェンフア,NASDAQ,金融(保険),○
AIG,AMERICAN INTER,AIG,NYSE,金融(保険),○
AIN,ALBANY INTL,アルバニー・インターナショナル,NYSE,機械,○
AIOT,POWERFLEET INC,パワーフリート,NASDAQ,通信機器,○
AIP,ARTERIS INC,アルテリス,NASDAQ,半導体,○
AIQ,GLX AI TECH ETF,グローバルX AIビッグデータ ETF,NASDAQ,その他,○
AIR,AAR CORP,AAR,NYSE,航空機・宇宙,○
AIRG,AIRGAIN INC,エアゲイン,NASDAQ,通信機器,○
AIRR,FT RBA AM INDUST,ファーストトラスト RBA 米国産業ルネサンスETF,NASDAQ,その他,○
AIRS,AIRSCULPT TECHNO,エアスカルプト・テクノロジーズ,NASDAQ,ヘルスケア,○
AIRT,AIR T INC,エアー・ティー,NASDAQ,運輸,○
AIT,APPLIED INDUST,アプライド・インダストリアル・テクノロジーズ,NYSE,小売,○
AIZ,ASSURANT INC,アシュラント,NYSE,金融(保険),○
AJG,ARTHUR J GALLAGH,アーサーJ.ギャラガー,NYSE,金融(保険),○
AKA,AKA BRANDS HLD,AKAブランズ・ホールディング,NYSE,小売,○
AKAM,AKAMAI TECH,アカマイ・テクノロジーズ,NASDAQ,ネットワーク,○
AKAN,AKANDA CORP,アカンダ,NASDAQ,医薬品,○
AKBA,AKEBIA THERAPEU,アケビア・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
AKRO,AKERO THERAPEUT,アケロ･セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
AKYA,AKOYA BIOSCIENCE,アコヤ・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
AL,AIR LEASE,エア・リース・コーポレーション,NYSE,航空機・宇宙,○
ALAB,ASTERA LABS INC,アステラ・ラブス,NASDAQ,半導体,○
ALAR,ALARUM TECH,アララム・テクノロジーズ,NASDAQ,ネットワークセキュリティー,○
ALB,ALBEMARLE,アルベマール,NYSE,化学,○
ALBT,AVALON GLOBOCARE,アバロン・グロボケア,NASDAQ,ヘルスケア,○
ALC,ALCON INC,アルコン,NYSE,医薬品,○
ALCO,ALICO INC,アリコ,NASDAQ,その他,○
ALDX,ALDEYRA THERAPEU,アルデイラ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ALE,ALLETE INC,アレッテ,NYSE,電力,○
ALEC,ALECTOR INC,アレクター,NASDAQ,医薬品（バイオテクノロジー）,○
ALG,ALAMO GROUP INC,アラモ・グループ,NYSE,機械,○
ALGM,ALLEGRO MICRO,アレグロ・マイクロシステムズ,NASDAQ,半導体,○
ALGN,ALIGN TECHNOLOGY,アライン・テクノロジー,NASDAQ,ヘルスケア,○
ALGS,ALIGOS THERAPEU,アリゴス・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ALGT,ALLEGIANT TRAVEL,アレジアント・トラベル,NASDAQ,航空,○
ALHC,ALIGNMENT HEALTH,アラインメント・ヘルスケア,NASDAQ,ソフトウェア・サービス,○
ALIT,ALIGHT INC,アライト,NYSE,ソフトウェア・サービス,○
ALK,ALASKA AIR GROUP,アラスカ・エア・グループ,NYSE,航空,○
ALKS,ALKERMES PLC,アルカームス,NASDAQ,医療サービス,○
ALKT,ALKAMI TECHNO,アルカミ・テクノロジー,NASDAQ,ソフトウェア・サービス,○
ALL,ALLSTATE CORP,オールステート,NYSE,金融(保険),○
ALLE,ALLEGION PLC,アレジオン,NYSE,その他製造,○
ALLK,ALLAKOS INC,アラコス,NASDAQ,医薬品（バイオテクノロジー）,○
ALLO,ALLOGENE THRPTCS,アロジーン・セラピューティクス,NASDAQ,ヘルスケア,○
ALLT,ALLOT,アロット,NASDAQ,ネットワーク,○
ALLY,ALLY FINANCIAL,アライ・ファイナンシャル,NYSE,金融（銀行）,○
ALNT,ALLIENT,アライアント,NASDAQ,その他製造,○
ALNY,ALNYLAM PHARMACE,アルナイラム・ファーマシューティカルズ,NASDAQ,ヘルスケア,○
ALOT,ASTRONOVA INC,アストロノバ,NASDAQ,コンピュータ,○
ALRM,ALARM.COM,アラーム・ドットコム・ホールディングス,NASDAQ,その他製造,○
ALRS,ALERUS FINCIAL,アレラス・ファイナンシャル,NASDAQ,金融（銀行）,○
ALSN,ALLISON TRANSMIS,アリソン・トランスミッション・ホールディングス,NYSE,その他製造,○
ALT,ALTIMMUNE,アルティミュン,NASDAQ,医薬品（バイオテクノロジー）,○
ALTG,ALTA EQUIPMENT,アルタ・イクイップメント・グループ,NYSE,その他,○
ALTI,ALTI GLOBAL,アルティ・グローバル,NASDAQ,その他,○
ALTM,ARCADIUM LITHIUM,アルカディウム・リチウム,NYSE,化学,○
ALTO,ALTO INGREDIENTS,アルト・イングレディエント,NASDAQ,その他,○
ALTR,ALTAIR ENGINEER,アルテア・エンジニアリング,NASDAQ,ソフトウェア・サービス,○
ALTS,ALT5 SIGMA CORP,ALT5シグマ・コーポレーション,NASDAQ,医薬品（バイオテクノロジー）,○
ALTY,GBLX ALTERN INCM,グローバルX オルタナティブ・インカム ETF,NASDAQ,その他,○
ALUR,ALLURION TECHNO,アユリオン・テクノロジーズ,NYSE,医薬品,○
ALV,AUTOLIV INC,オートリブ,NYSE,その他製造,○
ALVO,ALVOTECH HLD,アルボテック・ホールディングス,NYSE,その他,○
ALVR,ALLOVIR INC,アロウィル,NASDAQ,医薬品（バイオテクノロジー）,○
ALXO,ALX ONCOLOGY HLD,ALXオンコロジー・ホールディングス,NASDAQ,医薬品（バイオテクノロジー）,○
ALZN,ALZAMEND NEURO,アルザメンド・ニューロ,NASDAQ,医薬品（バイオテクノロジー）,○
AM,ANTERO MIDSTREAM,アンテロ・ミッドストリーム,NYSE,ガス・パイプライン,○
AMAL,AMALGAMATED BANK,アマルガメイテッド・バンク,NASDAQ,金融（銀行）,○
AMAT,APPLIED MATERIAL,アプライド　マテリアルズ,NASDAQ,半導体製造,○
AMBA,AMBARELLA INC.,アンバレラ,NASDAQ,半導体製造,○
AMBC,AMBAC FINANCIAL,アンバック・フィナンシャル・グループ,NYSE,金融(保険),○
AMBI,AMBIPAR EMG RPS,アンビパー・エマージェンシー・レスポンス,NYSE,その他,○
AMBP,ARDAGH METAL PAC,アルダ・メタル・パッケージング,NYSE,その他製造,○
AMC,AMC ENTERTAINMNT,AMCエンターテインメント・ホールディングス,NYSE,エンターテイメント,○
AMCR,AMCOR LIMITED,アムコア,NYSE,その他製造,○
AMCX,AMC NETWORKS INC,AMCネットワークス,NASDAQ,エンターテイメント,○
AMD,ADVANCED M D INC,アドバンスト・マイクロ・デバイス(AMD),NASDAQ,半導体,○
AMDL,GNS AMD BL2X,グラナイトシェアーズ2倍ロングAMDデイリーETF,NASDAQ,その他,○
AME,AMETEK INC,アメテック,NYSE,その他製造,○
AMED,AMEDISYS INC,アメディシス,NASDAQ,ヘルスケア,○
AMG,AFFILIATED MANAG,アフィリエーテッド・マネジャーズ・グループ,NYSE,金融コングロマリット,○
AMGN,AMGEN INC,アムジェン,NASDAQ,医薬品,○
AMKR,AMKOR TECHNOLOGY,アムコー・テクノロジー,NASDAQ,半導体,○
AMLX,AMYLYX PHARMA,アミリックス・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
AMN,AMN HEALTHCARE,AMNヘルスケア・サービシズ,NYSE,ソフトウェア・サービス,○
AMP,AMERIPRISE FIN,アメリプライズ・ファイナンシャル,NYSE,金融（証券）,○
AMPG,AMPLITECH GROUP,アンプリテック・グループ,NASDAQ,通信機器,○
AMPH,AMPHASTAR PHARMA,アンファスター・ファーマシューティカルズ,NASDAQ,医薬品,○
AMPL,AMPLITUDE INC,アンプリチュード,NASDAQ,ソフトウェア・サービス,○
AMPS,ALTUS POWER INC,アルタス・パワー,NYSE,電力,○
AMPX,AMPRIUS TECHNOLO,アンプリウス・テクノロジーズ,NYSE,その他製造,○
AMPY,AMPLIFY ENERGY,アンプリファイ・エナジー,NYSE,石油,○
AMR,ALPHA METAL RSRC,アルファ・メタラァジカル・リソーシズ,NYSE,その他製造,○
AMRC,AMERESCO INC,アメレスコ,NYSE,電力,○
AMRK,A-MARK PRECIOUS,Aマーク・プレシャス・メタルズ,NASDAQ,専門店,○
AMRN,AMARIN CORP,アマリン,NASDAQ,医薬品（バイオテクノロジー）,○
AMRX,AMNEAL PHARMA,アムニール・ファーマシューティカルズ,NASDAQ,医薬品,○
AMSC,AMERICN SUPERCON,アメリカン・スーパーコンダクター,NASDAQ,電力,○
AMSF,AMERISAFE INC,アメリセーフ,NASDAQ,金融(保険),○
AMST,AMESITE INC,アメサイト,NASDAQ,ソフトウェア・サービス,○
AMTB,AMERANT BANCORP,アメラント・バンコープ,NYSE,金融（銀行）,○
AMTM,AMENTUM HOLDINGS,アメンタム・ホールディングス,NYSE,情報処理サービス,○
AMTX,AEMETIS INC,アメティス,NASDAQ,電力,○
AMWD,AMERICAN WOODMRK,アメリカン・ウッドマーク,NASDAQ,その他製造,○
AMWL,AMERICAN WELL CO,アメリカン・ウェル,NYSE,ヘルスケア,○
AMX,AMERICA MOVILB,アメリカ・モービル（ADR Sr.B）,NYSE,通信サービス,○
AMZD,DRX AMZN BR1X,Direxion デイリーAMZN株 ベア 1 倍 ETF,NASDAQ,その他,○
AMZN,AMAZON.COM INC,アマゾン・ドット・コム,NASDAQ,小売,○
AMZU,DRX AMZN BL2X,Direxion デイリー AMZN ブル2倍株式,NASDAQ,その他,○
AMZZ,GNS AMZN 2X LONG,グラナイトシェアーズ2倍ロングAMZNデイリーETF,NASDAQ,その他,○
AN,AUTONATION INC,オートネーション,NYSE,小売,○
ANAB,ANAPTYSBIO INC,アナプティスバイオ,NASDAQ,医薬品（バイオテクノロジー）,○
ANDE,ANDERSONS INC,アンダーソンズ,NASDAQ,その他,○
ANEB,ANEBULO PHARMA,アネブロ・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
ANET,ARISTA NETWORKS,アリスタ・ネットワークス,NYSE,ネットワーク,○
ANF,ABERCROMBIE,アバークロンビー・アンド・　フィッチ,NYSE,小売,○
ANGI,ANGI INC,アンジー,NASDAQ,ソフトウェア・サービス,○
ANGO,ANGIODYNAMICS,アンジオダイナミクス,NASDAQ,ヘルスケア,○
ANIK,ANIKA THERAPEUT,アニカ・セラピューティクス,NASDAQ,医薬品,○
ANIP,ANI PHARMA,ANIファーマシューティカルズ,NASDAQ,医薬品,○
ANIX,ANIXA BIOSCIENCE,アニクサ・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
ANNX,ANNEXON INC,アネクソン,NASDAQ,医薬品（バイオテクノロジー）,○
ANSS,ANSYS INC,アンシス,NASDAQ,ソフトウェア・サービス,○
ANTX,AN2 THERAPE,AN2・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
ANVS,ANNOVIS BIO INC,アノビス・バイオ,NYSE,医薬品（バイオテクノロジー）,○
ANY,SPHERE 3D CORP,スフィア３Ｄ,NASDAQ,ソフトウェア・サービス,○
AON,AON PLC,エーオン,NYSE,金融(保険),○
AORT,ARTIVION INC,アーチビオン,NYSE,ヘルスケア,○
AOS,SMITH A.O. COR,A.O.スミス,NYSE,機械,○
AOSL,ALPHA OMEGA SMCN,アルファ・アンド・オメガ・セミコンダクター,NASDAQ,半導体,○
AOUT,AMERICAN OUTDOOR,アメリカン・アウトドア・ブランズ　,NASDAQ,エンターテイメント,○
AP,AMPCO PITTSBURGH,アンプコ・ピッツバーグ,NYSE,その他製造,○
APA,APACHE CORP,アパッチ,NASDAQ,石油,○
APAM,ARTISAN PRT ASST,アーチザン・パートナーズ・アセットマネジメント,NYSE,金融（証券）,○
APD,AIR PRODUCTS,エアープロダクツ・アンド・ケミカルズ,NYSE,化学,○
APDN,APPLIED DNA SCNC,アプライドDNAサイエンシス,NASDAQ,ネットワークセキュリティー,○
APEI,AMERICAN PUB EDU,アメリカン・パブリック・エデュケーション,NASDAQ,ソフトウェア・サービス,○
APG,API GROUP CORP,エーピーアイ・グループ,NYSE,ソフトウェア・サービス,○
APH,AMPHENOL CORP CL,アンフェノール,NYSE,その他製造,○
API,AGORA INC,アゴラ,NASDAQ,ソフトウェア・サービス,○
APLS,APELLIS PHARMA,アペリス・ファーマシューティカルズ,NASDAQ,医薬品（バイオテクノロジー）,○
APLT,APPLIED THERAPEU,アプライド・セラピューテクス,NASDAQ,医薬品（バイオテクノロジー）,○
APOG,APOGEE ENTERPRIS,アポジー・エンタープライジズ,NASDAQ,その他製造,○
APP,APPLOVIN CORP,アップラビン,NASDAQ,ソフトウェア・サービス,○
APPF,APPFOLIO INC,アップフォリオ,NASDAQ,ソフトウェア・サービス,○
APPN,APPIAN CORP,アピアン・コーポレーション,NASDAQ,ソフトウェア・サービス,○
APPS,DIGITAL TURBINE,デジタル・タービン,NASDAQ,ソフトウェア・サービス,○
APRE,APREA THERAPEU,アプレア・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
APT,ALPHA PRO TECH,アルファ・プロ・テック,NYSE,その他製造,○
APTO,APTOSE BIOSCNCS,アポトース・バイオサイエンシズ,NASDAQ,医薬品（バイオテクノロジー）,○
APTV,APTIV HOLDINGS,アプティブ・ホールディングス,NYSE,その他製造,○
APVO,APTEVO THERAPEU,アプテボ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
APYX,APYX MDICAL CORP,エイピックス・メディカル,NASDAQ,ヘルスケア,○
AQB,AQUABOUNTY TECH,アクアバウンティ・テクノロジーズ,NASDAQ,食品,○
AQMS,AQUA METALS INC,アクア・メタルズ,NASDAQ,その他製造,○
AQN,ALGONQUIN POWER,アルゴンキン・パワー・アンド・ユーティリティーズ,NYSE,電力,○
AQST,AQUESTIVE THERA,アクエスティブ・セラピューティクス,NASDAQ,医薬品（バイオテクノロジー）,○
AR,ANTERO RESOURCES,アンテロ・リソーシズ,NYSE,石油,○
ARAY,ACCURAY,アキュレイ,NASDAQ,ヘルスケア,○
ARBE,ARBE ROBOTICS,アーブ・ロボティクス,NASDAQ,その他製造,○
ARBK,ARGO BLOCKCHAIN,アルゴ・ブロックチェーン,NASDAQ,その他,○
ARCB,ARCBEST CORP,アークベスト,NASDAQ,運輸,○
ARCO,ARCOS DORADOS,アルコス・ドラドス,NYSE,外食,○
ARCT,ARCTURUS THERAP,アークトゥルス・セラピューティクス・ホールディングス,NASDAQ,医薬品（バイオテクノロジー）,○
ARDX,ARDELYX INC,アーデリックス,NASDAQ,医薬品（バイオテクノロジー）,○
AREC,AMERICAN RESRCES,アメリカン・リソーシズ,NASDAQ,その他製造,○
AREN,ARENA GROUP,アリーナ・グループ・ホールディングス,NYSE,情報処理サービス,○
ARES,ARES MANAGEMENT,アレス・マネジメント,NYSE,金融（証券）,○
ARGX,ARGENX SE,アルジェンX,NASDAQ,医薬品（バイオテクノロジー）,○
ARHS,ARHAUS INC,アーハウス,NASDAQ,その他製造,○
ARIS,ARIS WATER SLTNS,アリス・ウォーター・ソリューションズ,NYSE,その他製造,○
ARKO,ARKO,アルコ,NASDAQ,小売,○
ARKR,ARK RESTAURANTS,アーク・レストランツ,NASDAQ,外食,○
ARL,AMER REALTY INV,アメリカン・リアルティ・インベスターズ,NYSE,その他,○
ARLO,ARLO TECHNOLOGIE,アーロ・テクノロジーズ,NYSE,ソフトウェア・サービス,○
ARM,ARM HOLDINGS,アーム・ホールディングス,NASDAQ,半導体製造,○
ARMK,ARAMARK,アラマーク,NYSE,ソフトウェア・サービス,○
ARMN,ARIS MINING,アリス・マイニング,NYSE,その他,○
ARMP,ARMATA PHARMA,アルマータ・ファーマシューティカルズ,NYSE,医薬品（バイオテクノロジー）,○
AROC,ARCHROCK INC,アーチロック,NYSE,ガス・パイプライン,○
AROW,ARROW FINANCIAL,アロー・ファイナンシャル,NASDAQ,金融（銀行）,○
ARQ,ARQ INC,ARQインク,NASDAQ,ガス・パイプライン,○
ARQQ,ARQIT QUANTUM,アーキット・クオンタム,NASDAQ,ソフトウェア・サービス,○
