コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
3048,ビックカメラ,東証,貸借,○,×,○,0,-,▲,"1,196.00",3,0.50%,-,"1,034","1,012,200",-2.84%,-,2月24日
9006,京浜急行,東証,貸借,○,×,×,"8,100",-,▲,"1,308.00",0,0.61%,-,"1,033","808,300",-3.11%,-,3月29日
2229,カルビー,東証,貸借,○,×,○,"5,700",-,▲,"2,820.00",-43,-1.22%,-,"1,032","344,500",-4.40%,-,
3186,ネクステージ,東証,貸借,○,×,×,0,-,▲,"3,035.00",10,0.33%,-,"1,027","395,500",-1.14%,0.05,
6506,安川電機,東証,貸借,○,×,○,"17,500",-,▼,"5,100.00",0,-0.58%,-,"1,023","938,300",-1.54%,0.1,
4912,ライオン,東証,貸借,○,×,○,"45,500",-,▲,"1,401.00",-21,-0.98%,-,"1,021","839,900",-3.04%,-,12月27日
1662,石油資源開発,東証,貸借,○,×,○,"2,500",-,▲,"4,055.00",-105,-0.85%,-,"1,017","451,000",-5.58%,-,
8015,豊田通商,東証,貸借,○,×,○,"19,500",-,▼,"5,400.00",-20,0.00%,-,"1,013","621,900",-2.87%,-,
3197,すかいらーくＨＤ,東証,貸借,○,×,×,0,-,▲,"1,547.00",9,0.78%,-,"1,011","862,500",-0.32%,0.05,6月28日
8150,三信電気,東証,貸借,○,×,○,"4,100",-,▲,"2,586.00",1,-2.41%,-,"1,006","206,300",-3.10%,-,
4272,日本化薬,東証,貸借,○,×,○,"4,700",-,▼,"1,135.00",0,0.44%,-,"1,004","359,900",-3.40%,-,
3484,テンポイノベーション,東証,貸借,○,×,×,"2,400",-,▲,"1,163.00",45,-1.85%,-,"1,003","233,600",-5.29%,-,3月29日
7803,ブシロード,東証,貸借,○,×,×,"5,800",-,▲,711,27,3.04%,-,994,"579,400",-1.65%,-,12月27日
