コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
5408,中山製鋼所,東証,貸借,○,×,○,"19,300",-,▲,"1,052.00",-17,-3.04%,-,"4,059","3,545,500",-3.13%,-,
7270,ＳＵＢＡＲＵ,東証,貸借,○,×,○,"53,500",-,▲,"2,133.00",2,0.18%,-,"3,960","2,477,600",-1.93%,-,
8035,東京エレクトロン,東証,貸借,○,×,○,0,-,▼,"47,500.00",20,-0.79%,-,"3,918","1,013,100",-1.12%,0.75,
6479,ミネベアミツミ,東証,貸借,○,×,○,"2,900",-,▼,"2,289.00",28,0.92%,-,"3,912","1,910,800",-1.12%,-,
6301,小松製作所,東証,貸借,○,×,×,"5,800",-,▲,"3,068.00",4,0.03%,-,"3,898","2,614,100",-3.46%,-,3月29日
6326,クボタ,東証,貸借,○,×,○,"18,200",-,▲,"1,907.00",-1,0.84%,-,"3,866","2,865,600",-2.53%,-,
3099,三越伊勢丹ＨＤ,東証,貸借,○,×,×,"33,600",-,▲,"1,349.00",-34,-1.02%,-,"3,834","3,352,700",-5.06%,-,3月29日
4042,東ソー,東証,貸借,○,×,○,"10,500",-,▲,"1,645.00",-5,2.81%,-,"3,720","2,672,900",-3.63%,-,
9501,東京電力ＨＤ,東証,貸借,○,×,○,"482,600",-,▲,447,-12,-0.66%,-,"3,693","28,961,800",-8.02%,-,
9021,西日本旅客鉄道,東証,貸借,○,×,×,"25,100",-,▼,"5,290.00",-27,-0.11%,-,"3,678","1,464,500",-1.47%,-,3月29日
2371,カカクコム,東証,貸借,○,×,○,"9,700",-,▼,"2,121.00",15,-1.11%,-,"3,660","1,693,400",-4.45%,-,
4528,小野薬品,東証,貸借,○,×,○,"30,100",-,▼,"2,809.50",-42.5,-1.24%,-,"3,649","1,965,300",-2.34%,-,
4661,オリエンタルランド,東証,貸借,○,×,×,0,-,▲,"21,635.00",265,1.19%,-,"3,617","838,300",-2.30%,0.35,3月29日
8309,三井住友トラストＨＤ,東証,貸借,○,×,○,"14,400",-,▲,"4,734.00",62,2.26%,-,"3,617","1,303,200",-0.87%,-,
3923,ラクス,東証,貸借,○,×,○,"62,200",-,▼,"1,884.00",56,1.45%,-,"3,605","1,925,000",-0.99%,0.05,
2914,日本たばこ産業,東証,貸借,○,×,○,"542,600",-,▼,"2,616.00",-13,-0.20%,-,"3,564","3,116,400",-2.05%,-,
4443,Ｓａｎｓａｎ,東証,貸借,○,×,○,0,-,▲,"1,782.00",5,0.22%,-,"3,563","2,024,300",-0.66%,0.05,
4503,アステラス製薬,東証,貸借,○,×,○,"137,400",-,▼,"1,889.50",-10.5,-0.52%,-,"3,527","4,204,000",-1.74%,-,
4005,住友化学,東証,貸借,○,×,○,"111,800",-,▲,455,1,0.66%,-,"3,524","18,799,400",-9.00%,-,
9531,東京瓦斯,東証,貸借,○,×,○,"22,100",-,▲,"2,734.00",-32,-0.50%,-,"3,517","2,120,200",-4.97%,-,
4911,資生堂,東証,貸借,○,×,○,"19,400",-,▼,"6,470.00",-46,0.73%,-,"3,479","1,136,400",-4.97%,0.1,12月27日
8802,三菱地所,東証,貸借,○,×,○,"58,300",-,▲,"1,652.00",-0.5,0.12%,-,"3,432","2,798,800",-2.62%,-,
2127,日本Ｍ＆Ａセンターホールデ,東証,貸借,○,×,×,"43,300",-,▲,"1,340.00",-13,-1.90%,-,"3,431","2,568,500",-4.49%,-,3月29日
6645,オムロン,東証,貸借,○,×,○,0,-,▲,"7,578.00",60,0.58%,-,"3,397","854,000",-0.88%,0.15,
8795,Ｔ＆Ｄホールディングス,東証,貸借,○,×,○,"1,300",-,▲,"2,041.00",3,2.40%,-,"3,368","2,466,800",-5.11%,0.05,
4263,サスメド,東証,貸借,○,×,×,"6,400",-,▼,"1,520.00",-65,-3.43%,-,"3,341","923,500",-5.99%,-,
6770,アルプスアルパイン,東証,貸借,○,×,○,"19,600",-,▼,"1,403.00",7,-0.35%,-,"3,331","3,307,800",-2.97%,-,
7267,本田技研,東証,貸借,○,×,×,"38,800",-,▲,"3,198.00",-2,-0.12%,-,"3,301","3,238,100",-1.63%,-,3月29日
5411,ＪＦＥホールディングス,東証,貸借,○,×,×,"37,100",-,▲,"1,668.00",-36,-1.00%,-,"3,236","3,602,100",-3.80%,-,3月29日
4980,デクセリアルズ,東証,貸借,○,×,○,"12,500",-,▼,"2,828.00",21,-0.59%,-,"3,203","908,200",-1.80%,-,
3382,セブン＆アイ・ＨＬＤＧＳ,東証,貸借,○,×,○,"18,000",-,▼,"5,950.00",-41,0.01%,-,"3,153","1,612,900",-3.37%,0.1,
6971,京セラ,東証,貸借,○,×,×,"5,200",-,▼,"6,535.00",26,-0.13%,-,"3,146","1,031,700",-3.47%,-,3月29日
2503,キリンＨＤ,東証,貸借,○,×,○,"49,200",-,▼,"2,022.00",0.5,0.00%,-,"3,127","2,477,900",-0.76%,-,12月27日
8698,マネックスＧ,東証,貸借,○,×,×,0,-,▲,513,18,1.18%,-,"3,107","10,738,100",-2.47%,-,3月29日
7282,豊田合成,東証,貸借,○,×,○,"5,200",-,▼,"2,151.00",21,1.51%,-,"3,024","854,000",-1.19%,-,
7205,日野自動車,東証,貸借,○,×,○,"149,000",-,▼,541,-25,-3.73%,-,"3,005","5,749,200",-6.40%,-,
1459,楽天２２５ダブルベア,東証,貸借,○,×,×,"59,962",-,▼,"1,401.00",-11,-0.28%,-,"3,000","5,996,149",-1.40%,-,
7012,川崎重工業,東証,貸借,○,×,○,"20,000",-,▲,"2,911.00",11,1.28%,-,"2,994","1,508,400",-2.60%,-,
2317,システナ,東証,貸借,○,×,○,"51,100",-,▼,372,-44,-5.10%,-,"2,978","4,140,400",-12.47%,-,
8304,あおぞら銀行,東証,貸借,○,×,○,"64,500",-,▲,"2,557.00",-3,0.27%,-,"2,966","1,987,700",-1.91%,-,
7013,ＩＨＩ,東証,貸借,○,×,○,0,-,▲,"3,830.00",0,1.59%,-,"2,951","1,182,000",-3.16%,-,
6471,日本精工,東証,貸借,○,×,○,"32,900",-,▲,726,24,2.97%,-,"2,931","5,718,600",-0.81%,-,
1357,ＮＦ日経ダブインバ,東証,貸借,○,×,×,"526,649",-,▼,348,-3,-0.28%,-,"2,912","52,664,879",-1.69%,-,
4543,テルモ,東証,貸借,○,×,×,0,-,▼,"3,814.00",53,0.10%,-,"2,884","1,788,700",-0.20%,-,3月29日
6724,セイコーエプソン,東証,貸借,○,×,○,"14,000",-,▼,"1,874.00",25,1.84%,-,"2,826","2,153,700",-2.64%,-,
5108,ブリヂストン,東証,貸借,○,×,○,"32,000",-,▲,"4,800.00",-12,0.00%,-,"2,812","1,620,200",-1.67%,-,
3092,ＺＯＺＯ,東証,貸借,○,×,○,"5,900",-,▲,"3,285.00",125,1.70%,-,"2,810","2,043,200",-3.52%,-,
6963,ローム,東証,貸借,○,×,○,"2,700",-,▲,"10,500.00",-180,0.76%,-,"2,808","1,273,200",-1.96%,-,
2801,キッコーマン,東証,貸借,○,×,×,"3,600",-,▼,"6,710.00",-80,-2.04%,-,"2,745","1,362,000",-3.45%,-,3月29日
1928,積水ハウス,東証,貸借,○,×,○,"78,500",-,▲,"2,443.00",15.5,0.59%,-,"2,724","2,004,200",-1.41%,0.05,1月29日
6473,ジェイテクト,東証,貸借,○,×,○,"7,800",-,▼,952,20,2.91%,-,"2,708","1,855,300",-1.95%,-,
2502,アサヒグループホールディン,東証,貸借,○,×,○,"16,100",-,▼,"4,324.00",31,0.48%,-,"2,694","1,215,000",-0.32%,-,12月27日
6976,太陽誘電,東証,貸借,○,×,○,"6,000",-,▲,"4,495.00",85,0.55%,-,"2,692","2,114,100",-2.28%,-,
8985,ジャパン・ホテル・リート,東証,貸借,○,×,×,233,-,▲,"80,300.00","-2,300.00",-2.07%,-,"2,685","23,278",-4.17%,-,6月28日
9519,レノバ,東証,貸借,○,×,×,"10,400",-,▼,"2,183.00",-59,-2.76%,-,"2,669","1,040,400",-4.12%,-,3月29日
6178,日本郵政,東証,貸借,○,×,○,"122,700",-,▲,"1,122.50",-5.5,0.53%,-,"2,642","5,451,400",-2.81%,-,
7261,マツダ,東証,貸借,○,×,○,"102,800",-,▼,"1,030.00",-2,0.38%,-,"2,633","3,995,600",-3.82%,-,
4063,信越化学,東証,貸借,○,×,○,"3,100",-,▼,"19,200.00",60,0.23%,-,"2,622","943,500",-1.68%,0.3,
8331,千葉銀行,東証,貸借,○,×,×,"18,700",-,▼,944,2,1.50%,-,"2,593","3,110,200",-5.69%,0.05,3月29日
8354,ふくおかフィナンシャルＧ,東証,貸借,○,×,×,"3,800",-,▼,"2,904.00",4,1.29%,-,"2,580","807,500",-3.68%,-,3月29日
1458,楽天２２５ダブルブル,東証,貸借,○,×,×,"1,917",-,▲,"16,640.00",130,0.30%,-,"2,577","388,572",-0.71%,-,
6762,ＴＤＫ,東証,貸借,○,×,○,"6,700",-,▼,"4,800.00",115,0.62%,-,"2,563","2,365,900",-0.92%,-,
5334,日本特殊陶業,東証,貸借,○,×,○,"60,600",-,▲,"2,553.00",-2,-0.27%,-,"2,531","1,541,000",-1.50%,-,
4202,ダイセル,東証,貸借,○,×,○,"16,000",-,▲,885,-20,0.56%,-,"2,518","2,979,700",-9.13%,-,
8113,ユニ・チヤ－ム,東証,貸借,○,×,○,"12,300",-,▲,"4,932.00",45,0.75%,-,"2,516","869,400",-1.92%,0.1,
8725,ＭＳ＆ＡＤ,東証,貸借,○,×,○,"5,100",-,▲,"4,110.00",-18,0.53%,-,"2,456","1,344,400",-2.46%,-,
4901,富士フイルムＨＬＤＧＳ,東証,貸借,○,×,×,0,-,▼,"6,839.00",42,-0.17%,-,"2,444","772,900",-0.45%,-,3月29日
1973,ＮＥＣネッツエスアイ,東証,貸借,○,×,○,"11,500",-,▲,"1,586.00",-61,-1.06%,-,"2,425","919,400",-6.87%,-,
6952,カシオ,東証,貸借,○,×,○,"7,600",-,▲,"1,326.00",-8,2.23%,-,"2,419","2,387,100",-1.19%,-,
7202,いすゞ自動車,東証,貸借,○,×,○,"14,700",-,▼,"1,574.00",-23,-0.69%,-,"2,409","2,456,000",-4.89%,-,
5803,フジクラ,東証,貸借,○,×,○,"26,000",-,▼,979,24,1.55%,-,"2,374","2,443,100",-0.70%,-,
2130,メンバーズ,東証,貸借,○,×,○,900,-,▲,"1,821.00",-122,9.50%,-,"2,362","612,900",-7.98%,-,
6366,千代田化工建,東証,貸借,○,×,×,"57,200",-,▲,395,22,5.05%,-,"2,323","5,717,700",-0.50%,-,
7453,良品計画,東証,貸借,○,×,○,"184,000",-,▼,"1,391.00",-40,-2.79%,-,"2,322","1,947,300",-3.73%,-,
6298,ワイエイシイホールディングス,東証,貸借,○,×,×,"11,400",-,▼,"2,123.00",-6,0.52%,-,"2,318","762,100",-3.36%,-,
6367,ダイキン工業,東証,貸借,○,×,○,"3,800",-,▼,"22,870.00",275,0.04%,-,"2,307","643,800",-0.19%,-,
4751,サイバーエージェント,東証,貸借,○,×,○,"169,900",-,▲,"1,216.00",17,0.74%,-,"2,306","2,529,200",-0.16%,-,
4902,コニカミノルタ,東証,貸借,○,×,○,"212,700",-,▼,537,6,0.37%,-,"2,300","6,842,200",-1.46%,-,9月27日
7532,パンパシフィックＨＤ,東証,貸借,○,×,○,"44,300",-,▲,"2,354.00",28,0.64%,-,"2,288","1,218,500",-3.24%,-,6月28日
7148,ＦＰＧ,東証,貸借,○,×,×,"22,000",-,▼,"1,186.00",-40,-4.73%,-,"2,203","1,339,400",-9.11%,-,3月29日
1963,日揮ホールディングス,東証,貸借,○,×,○,"30,600",-,▲,"1,625.00",-11,0.30%,-,"2,172","1,143,600",-4.80%,-,
7167,めぶきフィナンシャルＧ,東証,貸借,○,×,×,"30,400",-,▲,331,4,2.16%,-,"2,158","8,306,300",-4.05%,-,3月29日
7731,ニコン,東証,貸借,○,×,○,0,-,▲,"1,252.00",-11,0.16%,-,"2,156","1,937,900",-2.56%,-,
9502,中部電力,東証,貸借,○,×,○,"17,100",-,▲,"1,380.00",-16,0.95%,-,"2,152","2,471,000",-2.47%,-,
8697,日本取引所グループ,東証,貸借,○,×,×,0,-,▼,"1,945.50",18,1.09%,-,"2,130","1,262,900",-2.08%,-,3月29日
9503,関西電力,東証,貸借,○,×,○,"72,600",-,▲,"1,215.00",-15,-0.24%,-,"2,123","3,247,200",-2.64%,-,
7186,コンコルディア・フィナンシャル,東証,貸借,○,×,×,"31,600",-,▼,549,0,1.10%,-,"2,091","6,694,000",-5.83%,-,3月29日
3994,マネーフォワード,東証,貸借,○,×,○,"12,100",-,▲,"5,340.00",200,2.10%,-,"2,067","1,199,900",-0.37%,0.15,
7988,ニフコ,東証,貸借,○,×,○,800,-,▼,"3,510.00",200,9.00%,-,"2,049","635,700",-2.22%,-,
2412,ベネフィット・ワン,東証,貸借,○,×,×,0,-,▼,"2,368.00",114,1.63%,-,"2,034","775,600",-0.92%,-,3月29日
7518,ネットワンシステムズ,東証,貸借,○,×,○,"5,500",-,▲,"3,240.00",-40,0.93%,-,"2,016","1,070,500",-8.47%,-,
5711,三菱マテリアル,東証,貸借,○,×,×,"3,300",-,▼,"2,127.00",-53,-0.42%,-,"1,995","883,600",-5.00%,-,3月29日
9513,電源開発,東証,貸借,○,×,○,"53,500",-,▲,"2,127.00",-47,-1.20%,-,"1,990","1,036,100",-2.43%,-,
4384,ラクスル,東証,貸借,○,×,×,0,-,▼,"1,496.00",-4,0.67%,-,"1,978","806,700",-2.92%,-,
4559,ゼリア新薬工業,東証,貸借,○,×,×,"4,300",-,▼,"2,082.00",-122,0.48%,-,"1,945","429,000",-6.92%,-,3月29日
4204,積水化学,東証,貸借,○,×,○,"8,400",-,▲,"1,805.00",-3,0.83%,-,"1,930","1,488,200",-1.68%,-,
3903,ｇｕｍｉ,東証,貸借,○,×,×,"18,600",-,▼,847,-29,-3.75%,-,"1,924","1,853,800",-3.96%,-,
8473,ＳＢＩホールディングス,東証,貸借,○,×,×,"13,800",-,▲,"2,725.00",13,0.92%,-,"1,899","1,247,800",-1.23%,-,3月29日
2980,ＳＲＥホールディングス,東証,貸借,○,×,×,"6,400",-,▼,"3,395.00",-230,-4.50%,-,"1,893","636,000",-7.99%,-,
4475,ＨＥＮＮＧＥ,東証,貸借,○,×,×,"11,100",-,▲,"1,065.00",13,-0.74%,-,"1,888","1,067,300",-2.38%,-,
6305,日立建機,東証,貸借,○,×,○,"6,800",-,▼,"2,934.00",30,0.30%,-,"1,847","847,100",-4.27%,-,
7182,ゆうちょ銀行,東証,貸借,○,×,×,"17,700",-,▲,"1,145.00",0,0.43%,-,"1,844","3,146,400",-2.30%,0.05,3月29日
6967,新光電気工業,東証,貸借,○,×,×,"16,300",-,▲,"3,875.00",-35,-0.89%,-,"1,839","1,336,200",-1.52%,-,3月29日
8056,ＢＩＰＲＯＧＹ,東証,貸借,○,×,○,"4,000",-,▲,"3,075.00",10,-0.16%,-,"1,832","990,000",-9.95%,-,
4613,関西ペイント,東証,貸借,○,×,○,"1,700",-,▲,"1,766.00",-7,1.02%,-,"1,804","712,100",-4.12%,-,
6141,ＤＭＧ森精機,東証,貸借,○,×,○,"29,500",-,▲,"1,970.00",21,1.38%,-,"1,803","631,400",-0.50%,-,
1802,大林組,東証,貸借,○,×,○,"38,900",-,▼,958,-10,0.52%,-,"1,796","2,544,500",-5.70%,-,
6200,インソース,東証,貸借,○,×,○,"17,100",-,▼,"1,464.00",-65,-3.23%,-,"1,794","569,800",-4.81%,-,9月27日
4536,参天製薬,東証,貸借,○,×,○,"25,600",-,▲,987,-19,-1.10%,-,"1,777","2,875,900",-2.94%,-,
3861,王子ホールディングス,東証,貸借,○,×,×,"29,800",-,▼,517,-20,-3.54%,-,"1,768","4,169,700",-4.78%,-,3月29日
8963,インヴィンシブル投資法,東証,貸借,○,×,×,316,-,▲,"54,100.00","-1,100.00",-1.09%,-,"1,755","32,001",-4.41%,-,6月28日
4612,日本ペイントＨＯＬＤ,東証,貸借,○,×,○,"22,800",-,▲,"1,168.00",5,1.38%,-,"1,744","2,127,800",-2.42%,-,
7832,バンダイナムコＨＬＤＧＳ,東証,貸借,○,×,×,0,-,▲,"8,696.00",62,-0.04%,-,"1,735","531,900",-0.79%,-,3月29日
5938,ＬＩＸＩＬ,東証,貸借,○,×,○,"6,600",-,▲,"2,140.00",9,0.89%,-,"1,730","957,500",-4.76%,-,
7735,ＳＣＲＥＥＮホールディングス,東証,貸借,○,×,○,0,-,▲,"10,320.00",-90,-0.86%,-,"1,711","614,300",-1.33%,-,
4205,日本ゼオン,東証,貸借,○,×,○,"7,400",-,▲,"1,212.00",-22,-1.06%,-,"1,709","1,217,700",-4.56%,-,
5703,日本軽金属ＨＤ,東証,貸借,○,×,○,"25,100",-,▼,"1,419.00",-50,-2.60%,-,"1,707","1,116,400",-5.08%,-,
6754,アンリツ,東証,貸借,○,×,○,"98,100",-,▼,"1,224.00",-17,-1.36%,-,"1,701","1,292,200",-2.47%,-,
5831,しずおかフィナンシャルク,東証,貸借,○,×,○,"8,500",-,▲,"1,072.00",9,1.13%,-,"1,697","1,275,600",-7.10%,-,
3561,力の源ＨＤ,東証,貸借,○,×,×,"5,100",-,▼,"1,134.00",-25,-3.32%,-,"1,696","502,300",-3.48%,-,3月29日
2002,日清製粉Ｇ本社,東証,貸借,○,×,×,800,-,▼,"1,567.00",-22,-1.63%,-,"1,681","768,000",-5.14%,-,3月29日
9274,ＫＰＰグループホールディン,東証,貸借,○,×,○,"11,000",-,▲,864,-28,-2.15%,-,"1,678","969,800",-6.69%,-,
8953,日本都市ファンド,東証,貸借,○,×,×,166,-,▲,"100,700.00",0,-0.29%,-,"1,674","9,879",-1.37%,-,
6753,シャープ,東証,貸借,○,×,○,"8,600",-,▲,"1,074.00",-10,-0.92%,-,"1,668","1,779,600",-1.55%,0.05,
2516,東証マザーズＥＴＦ,東証,貸借,○,×,×,0,-,▼,603.8,-0.9,-0.72%,-,"1,656","1,060,270",-1.37%,0.5,
1925,大和ハウス,東証,貸借,○,×,×,"11,800",-,▲,"3,050.00",-6,-0.16%,-,"1,654","957,900",-2.86%,-,3月29日
3093,トレジャー・ファクトリー,東証,貸借,○,×,×,"4,200",-,▲,"2,250.00",-114,-3.80%,-,"1,654","394,400",-7.93%,-,2月24日
2162,ＮＭＳホールディングス,東証,貸借,○,×,×,"18,200",-,▲,332,32,9.93%,-,"1,638","1,820,400",-0.30%,-,
7298,八千代工業,東証,貸借,○,×,×,0,-,▼,"1,246.00",-38,-4.88%,-,"1,635","469,700",-6.24%,-,
8233,高島屋,東証,貸借,○,×,○,0,-,▲,"1,760.00",-17,-0.84%,-,"1,627","972,500",-3.66%,-,2月24日
4004,レゾナック・ホールディング,東証,貸借,○,×,○,"64,900",-,▲,"2,176.00",-10,0.27%,-,"1,621","977,000",-3.03%,-,
1820,西松建設,東証,貸借,○,×,○,"13,100",-,▼,"3,405.00",-65,-1.73%,-,"1,611","1,114,800",-5.28%,-,
4565,そーせいグループ,東証,貸借,○,×,○,"68,900",-,▲,"2,406.00",-20,-0.61%,-,"1,588","692,800",-4.48%,-,
2730,エディオン,東証,貸借,○,×,×,0,-,▲,"1,262.00",2,0.07%,-,"1,583","1,109,600",-1.63%,-,3月29日
9022,東海旅客鉄道,東証,貸借,○,×,×,0,-,▼,"15,385.00",-50,-0.32%,-,"1,582","487,900",-2.65%,-,3月29日
1306,ＮＦＴＯＰＩＸ,東証,貸借,○,×,×,"14,400",-,▲,"2,055.50",5.5,0.36%,-,"1,580","1,027,920",-1.03%,0.5,
9962,ミスミグループ本社,東証,貸借,○,×,○,0,-,▲,"3,290.00",-55,-0.75%,-,"1,579","723,300",-3.09%,-,
5933,アルインコ,東証,貸借,○,×,×,"5,400",-,▼,"1,016.00",-51,-7.63%,-,"1,577","538,100",-8.87%,-,3月16日
6062,チャームケアコーポレーション,東証,貸借,○,×,×,"4,600",-,▲,"1,245.00",29,1.13%,-,"1,577","455,000",-1.73%,-,
6050,イー・ガーディアン,東証,貸借,○,×,○,"2,400",-,▲,"2,379.00",54,1.49%,-,"1,569","411,000",-14.42%,-,
4578,大塚ホールディングス,東証,貸借,○,×,○,"24,700",-,▼,"4,087.00",-28,-0.34%,-,"1,567","788,600",-2.52%,-,12月27日
3626,ＴＩＳ,東証,貸借,○,×,○,"1,800",-,▼,"3,685.00",-70,-1.07%,-,"1,566","1,007,900",-2.77%,-,
3086,Ｊ．フロントリテイリング,東証,貸借,○,×,○,0,-,▲,"1,200.00",-11,-0.90%,-,"1,562","1,426,300",-1.39%,-,2月24日
5929,三和ホールディングス,東証,貸借,○,×,×,"7,800",-,▲,"1,330.00",-8,-0.44%,-,"1,547","694,600",-5.40%,-,3月29日
3231,野村不動産ＨＬＤＧＳ,東証,貸借,○,×,○,"10,400",-,▼,"2,804.00",-4,0.07%,-,"1,539","611,400",-2.80%,-,
1911,住友林業,東証,貸借,○,×,○,"28,400",-,▼,"2,400.00",20,1.30%,-,"1,538","801,700",-1.11%,-,
1332,ニッスイ,東証,貸借,○,×,×,"23,500",-,▼,525,-4,-0.75%,-,"1,536","2,342,900",-3.31%,-,3月29日
6481,ＴＨＫ,東証,貸借,○,×,○,"21,800",-,▼,"2,684.00",6,0.71%,-,"1,535","587,100",-2.47%,-,
4478,フリー,東証,貸借,○,×,×,0,-,▲,"3,670.00",40,-0.81%,-,"1,534","502,000",-1.34%,0.1,
3281,ＧＬＰ投資法人,東証,貸借,○,×,×,94,-,▼,"147,900.00",400,0.13%,-,"1,529","8,443",-0.60%,5,
9532,大阪瓦斯,東証,貸借,○,×,○,"7,700",-,▼,"2,070.00",-31,-1.05%,-,"1,526","982,600",-2.90%,-,
6080,Ｍ＆Ａキャピタルパートナー,東証,貸借,○,×,○,"8,400",-,▼,"3,700.00",-180,-4.39%,-,"1,521","510,300",-10.62%,-,9月27日
7747,朝日インテック,東証,貸借,○,×,○,"24,800",-,▼,"2,277.00",-7,-1.00%,-,"1,519","631,700",-1.34%,-,
1579,日経平均ブル２倍,東証,貸借,○,×,×,"6,720",-,▼,"15,125.00",105,0.23%,-,"1,514","419,110",-0.78%,-,
5105,ＴＯＹＯＴＩＲＥ,東証,貸借,○,×,○,"34,600",-,▼,"1,535.00",-24,-0.83%,-,"1,509","1,092,500",-1.79%,-,
5480,日本冶金工,東証,貸借,○,×,○,"7,300",-,▲,"4,560.00",-15,-0.32%,-,"1,504","471,600",-2.66%,-,
9735,セコム,東証,貸借,○,×,×,"1,800",-,▼,"7,483.00",-70,-0.70%,-,"1,502","462,200",-3.39%,-,3月29日
6201,豊田自動織機,東証,貸借,○,×,○,800,-,▲,"7,740.00",-110,0.00%,-,"1,495","804,100",-3.37%,-,
2685,アダストリア,東証,貸借,○,×,○,0,-,▲,"2,160.00",-24,-0.09%,-,"1,488","586,600",-2.04%,-,2月24日
9064,ヤマトホールディングス,東証,貸借,○,×,○,"5,600",-,▲,"2,250.00",18,0.58%,-,"1,484","1,026,700",-1.61%,-,
2871,ニチレイ,東証,貸借,○,×,○,"7,000",-,▼,"2,602.00",-20,-0.07%,-,"1,481","502,600",-5.17%,-,
9533,東邦瓦斯,東証,貸借,○,×,×,"5,800",-,▲,"2,455.00",-19,-0.64%,-,"1,480","435,800",-3.98%,-,3月29日
6951,日本電子,東証,貸借,○,×,○,0,-,▼,"3,930.00",105,1.68%,-,"1,477","696,300",-1.50%,-,
1540,純金上場信託,東証,貸借,○,×,×,"1,180",-,▲,"7,528.00",-136,-0.17%,-,"1,471","118,009",-1.91%,-,
9613,ＮＴＴデータ,東証,貸借,○,×,○,"63,900",-,▼,"2,006.00",24,0.30%,-,"1,465","1,950,600",-0.98%,-,
1321,ＮＦ日経２２５,東証,貸借,○,×,×,0,-,▼,"28,460.00",95,0.05%,-,"1,463","216,741",-0.41%,-,
7762,シチズン時計,東証,貸借,○,×,○,"9,700",-,▲,601,-2,-0.66%,-,"1,458","3,105,500",-3.99%,-,
6841,横河電機,東証,貸借,○,×,○,"1,700",-,▲,"2,231.00",-17,-0.75%,-,"1,453","934,500",-2.53%,-,
3150,グリムス,東証,貸借,○,×,○,"2,300",-,▼,"2,642.00",-11,-2.25%,-,"1,444","283,100",-4.06%,0.05,
8593,三菱ＨＣキャピタル,東証,貸借,○,×,○,"314,400",-,▲,656,-2,0.30%,-,"1,436","3,561,900",-1.35%,-,
9024,西武ホールディングス,東証,貸借,○,×,×,"4,600",-,▲,"1,413.00",-11,0.07%,-,"1,433","879,100",-3.94%,-,3月29日
6460,セガサミーホールディングス,東証,貸借,○,×,○,"45,400",-,▲,"2,021.00",-17,-0.49%,-,"1,423","686,000",-2.41%,-,
4185,ＪＳＲ,東証,貸借,○,×,○,700,-,▲,"2,880.00",-24,0.34%,-,"1,414","610,900",-1.94%,-,
1878,大東建託,東証,貸借,○,×,○,"5,400",-,▲,"12,360.00",-340,-1.90%,-,"1,411","495,600",-3.96%,-,
7181,かんぽ生命保険,東証,貸借,○,×,○,"23,300",-,▼,"2,270.00",-13,1.06%,-,"1,404","626,900",-3.44%,-,
3141,ウエルシアＨＤ,東証,貸借,○,×,○,"42,200",-,▲,"2,901.00",-19,-1.05%,-,"1,400","848,600",-1.49%,-,2月24日
4527,ロート製薬,東証,貸借,○,×,×,"5,200",-,▲,"2,269.00",-78,-1.85%,-,"1,395","514,400",-6.12%,-,3月29日
1812,鹿島建設,東証,貸借,○,×,○,"12,200",-,▲,"1,506.00",-15,-0.13%,-,"1,390","1,198,300",-5.81%,0.05,
9007,小田急電鉄,東証,貸借,○,×,×,"8,500",-,▼,"1,656.00",-1,-0.06%,-,"1,389","886,900",-3.04%,-,3月29日
6869,シスメックス,東証,貸借,○,×,○,"1,700",-,▼,"8,656.00",-24,-0.67%,-,"1,388","362,600",-0.90%,-,
7537,丸文,東証,貸借,○,×,○,"6,200",-,▼,"1,191.00",3,-0.75%,-,"1,386","544,900",-6.51%,-,
3462,野村不動産マスターＦ,東証,貸借,○,×,×,109,-,▲,"152,000.00",300,0.19%,-,"1,382","7,081",-0.91%,-,
8282,ケーズホールディングス,東証,貸借,○,×,×,"10,100",-,▲,"1,171.00",-7,0.86%,-,"1,378","1,878,300",-2.33%,-,3月29日
9005,東急,東証,貸借,○,×,×,"12,400",-,▲,"1,621.00",0,0.68%,-,"1,377","1,066,500",-2.87%,-,3月29日
2587,サントリー食品インター,東証,貸借,○,×,○,"13,500",-,▲,"4,435.00",105,0.79%,-,"1,361","990,200",-0.44%,-,
2695,くら寿司,東証,貸借,○,×,×,"5,000",-,▲,"3,100.00",95,2.47%,-,"1,360","500,400",-0.64%,-,4月26日
5301,東海カーボン,東証,貸借,○,×,○,"144,600",-,▼,"1,087.00",-7,-0.27%,-,"1,346","1,014,900",-3.29%,-,6月28日
6702,富士通,東証,貸借,○,×,○,"1,900",-,▼,"18,470.00",-200,-0.67%,-,"1,342","542,100",-1.98%,0.3,
5423,東京製鐵,東証,貸借,○,×,○,"2,700",-,▼,"1,371.00",-15,-0.65%,-,"1,324","499,600",-3.85%,-,
3282,コンフォリア・レジデンシャル,東証,貸借,○,×,×,48,-,▲,"296,400.00","7,200.00",2.20%,-,"1,323","4,346",-0.10%,5,
9143,ＳＧホールディングス,東証,貸借,○,×,○,"14,000",-,▼,"1,998.00",38,1.31%,-,"1,323","966,100",-1.91%,-,
6768,タムラ製作所,東証,貸借,○,×,×,"10,600",-,▲,744,6,0.40%,-,"1,320","1,059,800",-0.93%,-,
9142,九州旅客鉄道,東証,貸借,○,×,×,"6,600",-,▲,"2,853.00",0,0.10%,-,"1,315","468,300",-2.26%,-,3月29日
